query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,18.4432,1637.6836,88.8,14.9283,14.9283,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,16.1373,1590.2807,98.55,14.1382,14.1382,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,14.1927,1624.2206,114.44,13.2884,13.2884,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,14.1579,1652.5386,116.72,16.0548,16.0548,1,1,1.0,1,1.0,1,0.6,1,0.7,1,v2x,0,all_niche,global,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,15.532,1576.0352,101.47,14.5887,14.5887,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,14.7471,1458.257,98.88,15.4242,15.4242,1,1,1.0,1,1.0,1,1.0,1,0.8,1,v2x,0,all_niche,global,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,15.0861,1615.6593,107.1,14.8829,14.8829,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,15.3468,1595.0241,103.93,14.834,14.834,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,13.498,1618.7073,119.92,13.6544,13.6544,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,14.9007,1639.1929,110.01,14.6547,14.6547,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
10,29,cross_modal_brca_v2x_seed0,15.1181,1604.2118,106.11,14.5695,14.5695,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
11,30,cross_modal_brca_v2x_seed0,14.913,1615.3251,108.32,14.3661,14.3661,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
12,33,cross_modal_brca_v2x_seed0,15.0199,1596.316,106.28,14.0378,14.0378,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
13,37,cross_modal_brca_v2x_seed0,14.9437,1616.1083,108.15,14.3594,14.3594,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
14,39,cross_modal_brca_v2x_seed0,14.8476,1625.2811,109.46,14.111,14.111,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
15,44,cross_modal_brca_v2x_seed0,15.4086,1593.9027,103.44,13.8737,13.8737,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
16,48,cross_modal_brca_v2x_seed0,12.258,1511.7893,123.33,17.1169,18.3567,7,0,0.0,0,0.0,0,0.0,1,0.1429,1,v2x,0,all_niche,global,3,165,156,2.26
17,54,cross_modal_brca_v2x_seed0,12.9615,1529.2994,117.99,15.7636,15.7636,1,1,1.0,1,1.0,1,1.0,1,0.8889,1,v2x,0,all_niche,global,3,165,156,2.26
18,55,cross_modal_brca_v2x_seed0,13.613,1624.2224,119.31,14.5813,14.5813,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
19,61,cross_modal_brca_v2x_seed0,13.202,1502.2231,113.79,16.6656,16.6656,1,1,0.6667,1,0.5,1,0.2857,1,0.3684,0,v2x,0,all_niche,global,3,165,156,2.26
20,62,cross_modal_brca_v2x_seed0,12.9851,1640.9917,126.38,16.141,16.141,1,1,1.0,1,1.0,1,0.1667,1,0.1667,1,v2x,0,all_niche,global,3,165,156,2.26
21,64,cross_modal_brca_v2x_seed0,12.5658,1624.7274,129.3,14.4713,14.4713,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
22,65,cross_modal_brca_v2x_seed0,12.4064,1598.9074,128.88,15.708,15.708,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
23,71,cross_modal_brca_v2x_seed0,15.17,1620.8923,106.85,14.5426,14.5426,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
24,77,cross_modal_brca_v2x_seed0,12.0921,1583.1766,130.93,17.4819,17.5334,2,1,0.5,1,0.5,1,0.3333,1,0.2857,1,v2x,0,all_niche,global,3,165,156,2.26
25,81,cross_modal_brca_v2x_seed0,14.5569,1572.9852,108.06,14.4793,14.4793,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
26,89,cross_modal_brca_v2x_seed0,15.2233,1596.7163,104.89,13.5882,13.5882,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
27,92,cross_modal_brca_v2x_seed0,15.1498,1642.2521,108.4,14.3477,14.3477,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
28,94,cross_modal_brca_v2x_seed0,14.4168,1456.5289,101.03,14.8246,14.8246,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
29,96,cross_modal_brca_v2x_seed0,14.5183,1584.5042,109.14,14.5749,14.5749,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
30,99,cross_modal_brca_v2x_seed0,14.629,1587.0792,108.49,14.2789,14.2789,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
31,102,cross_modal_brca_v2x_seed0,14.6677,1560.7138,106.4,14.3732,14.3732,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
32,105,cross_modal_brca_v2x_seed0,14.4845,1566.8257,108.17,14.6299,14.6299,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
33,108,cross_modal_brca_v2x_seed0,15.0754,1617.6762,107.31,14.5208,14.5208,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
34,109,cross_modal_brca_v2x_seed0,14.6389,1592.3695,108.78,14.3998,14.3998,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
35,110,cross_modal_brca_v2x_seed0,14.962,1627.0515,108.75,14.5276,14.5276,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
36,119,cross_modal_brca_v2x_seed0,14.3179,1550.6586,108.3,14.5419,14.5419,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
37,123,cross_modal_brca_v2x_seed0,14.4809,1564.8796,108.06,14.7241,14.7241,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
38,127,cross_modal_brca_v2x_seed0,15.0213,1588.3471,105.74,12.574,12.574,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
39,128,cross_modal_brca_v2x_seed0,14.2542,1615.6997,113.35,15.1005,15.1005,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
40,129,cross_modal_brca_v2x_seed0,14.4608,1580.0665,109.27,14.6506,14.6506,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
41,130,cross_modal_brca_v2x_seed0,14.3743,1595.738,111.01,14.8693,14.8693,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
42,132,cross_modal_brca_v2x_seed0,14.3621,1572.2578,109.47,14.4378,14.4378,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
43,133,cross_modal_brca_v2x_seed0,14.405,1582.1473,109.83,14.9069,14.9069,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
44,135,cross_modal_brca_v2x_seed0,14.3544,1452.402,101.18,14.8948,14.8948,1,1,1.0,1,1.0,1,1.0,1,0.9286,0,v2x,0,all_niche,global,3,165,156,2.26
45,137,cross_modal_brca_v2x_seed0,14.1598,1605.8141,113.41,14.7817,14.7817,1,1,1.0,1,1.0,1,1.0,1,0.9,0,v2x,0,all_niche,global,3,165,156,2.26
46,143,cross_modal_brca_v2x_seed0,14.3578,1580.0506,110.05,14.5032,14.5032,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
47,148,cross_modal_brca_v2x_seed0,14.7323,1566.9433,106.36,14.2101,14.2101,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,global,3,165,156,2.26
48,152,cross_modal_brca_v2x_seed0,14.8067,1562.1339,105.5,13.7823,13.7823,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
49,153,cross_modal_brca_v2x_seed0,14.8553,1594.8514,107.36,14.2415,14.2415,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,global,3,165,156,2.26
