query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,11.2553,1632.6707,145.06,29.7033,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,4.2672,1584.7897,371.39,113.023,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,6.6551,1619.3568,243.33,40.151,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,5.8492,1641.8453,280.7,69.722,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,4.6537,1577.1238,338.9,83.6895,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,5.6411,1455.872,258.08,76.4422,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,5.5193,1614.9668,292.6,72.9032,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,5.7296,1591.8523,277.83,68.1435,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,8.241,1616.6643,196.17,31.9867,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,6.0528,1637.0368,270.46,67.1598,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
10,29,cross_modal_brca_v2x_seed0,4.8258,1603.2334,332.22,84.9654,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
11,30,cross_modal_brca_v2x_seed0,5.63,1611.93,286.31,67.4836,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,v2x,0,all_niche,none,3,165,156,2.26
12,33,cross_modal_brca_v2x_seed0,5.0649,1594.872,314.89,84.7514,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
13,37,cross_modal_brca_v2x_seed0,5.5709,1617.1087,290.28,67.9437,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
14,39,cross_modal_brca_v2x_seed0,5.767,1626.4017,282.02,64.6844,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
15,44,cross_modal_brca_v2x_seed0,4.3346,1593.4971,367.62,102.9739,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
16,48,cross_modal_brca_v2x_seed0,9.4271,1509.7103,160.15,24.7309,26.0501,4,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
17,54,cross_modal_brca_v2x_seed0,9.336,1530.1417,163.9,25.211,25.211,1,1,1.0,1,1.0,1,1.0,1,0.4,0,v2x,0,all_niche,none,3,165,156,2.26
18,55,cross_modal_brca_v2x_seed0,8.4865,1622.0862,191.14,30.5916,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
19,61,cross_modal_brca_v2x_seed0,7.6904,1499.4093,194.97,32.9167,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,v2x,0,all_niche,none,3,165,156,2.26
20,62,cross_modal_brca_v2x_seed0,7.5083,1637.0818,218.04,33.2394,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
21,64,cross_modal_brca_v2x_seed0,8.5903,1622.3996,188.86,27.9099,28.3087,4,0,0.0,0,0.0,1,0.2,1,0.1429,1,v2x,0,all_niche,none,3,165,156,2.26
22,65,cross_modal_brca_v2x_seed0,9.2463,1599.7851,173.02,26.9957,27.918,5,0,0.0,0,0.0,0,0.0,1,0.1667,0,v2x,0,all_niche,none,3,165,156,2.26
23,71,cross_modal_brca_v2x_seed0,5.145,1623.096,315.47,81.2842,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,none,3,165,156,2.26
