query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,20.0063,1637.819,81.87,13.3654,13.3654,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,6.8196,1589.3258,233.05,30.3837,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,15.499,1632.3815,105.32,14.9673,14.9673,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,12.1202,1649.9483,136.13,19.6255,23.1298,29,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,10.2738,1576.1034,153.41,22.4311,27.4675,45,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,12.4589,1458.3813,117.06,19.758,24.2964,45,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,12.6282,1619.1973,128.22,20.4988,24.9669,46,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,13.3006,1593.9787,119.84,18.3124,21.5986,31,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,15.1293,1624.5039,107.37,13.9368,13.9368,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,13.3386,1638.6293,122.85,17.505,20.7566,27,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
10,29,cross_modal_brca_v2x_seed0,10.2202,1603.0789,156.85,22.7825,28.1829,48,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
11,30,cross_modal_brca_v2x_seed0,12.9304,1613.4779,124.78,19.8887,23.2206,34,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
12,33,cross_modal_brca_v2x_seed0,11.2186,1591.9587,141.9,22.861,26.3317,39,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
13,37,cross_modal_brca_v2x_seed0,13.0923,1614.27,123.3,18.8323,20.9838,18,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
14,39,cross_modal_brca_v2x_seed0,13.4601,1621.6388,120.48,16.925,19.9417,14,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
15,44,cross_modal_brca_v2x_seed0,7.8393,1592.1141,203.09,26.8001,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
16,48,cross_modal_brca_v2x_seed0,15.0287,1506.4619,100.24,13.5836,13.5836,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,per_niche,3,165,156,2.26
17,54,cross_modal_brca_v2x_seed0,15.2326,1525.7412,100.16,13.2896,13.2896,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,0,all_niche,per_niche,3,165,156,2.26
18,55,cross_modal_brca_v2x_seed0,16.2486,1621.2416,99.78,13.8694,13.8694,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
19,61,cross_modal_brca_v2x_seed0,14.9025,1501.1051,100.73,14.6398,14.6398,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
20,62,cross_modal_brca_v2x_seed0,14.4781,1635.0019,112.93,14.8602,14.8602,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,0,all_niche,per_niche,3,165,156,2.26
