query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,2.7115,1637.6836,603.98,14.9283,16.5586,12,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,9.5011,1590.2807,167.38,14.1382,14.851,2,0,0.0,0,0.0,0,0.0,1,0.5,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,3.6288,1624.2206,447.59,13.2884,13.2884,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,2.7274,1652.5386,605.9,16.0548,16.792,7,0,0.0,0,0.0,0,0.0,1,0.2,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,8.7162,1576.0352,180.82,14.5887,14.5887,1,1,1.0,1,0.5,1,0.4,1,0.4286,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,8.698,1458.257,167.65,15.4242,15.8462,3,0,0.0,0,0.0,1,0.3333,1,0.4,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,8.7101,1615.6593,185.49,14.8829,16.5522,7,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,3.2536,1595.0241,490.23,14.834,15.87,5,0,0.0,0,0.0,0,0.0,1,0.25,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,2.2691,1618.7073,713.37,13.6544,18.1799,23,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,3.5695,1639.1929,459.23,14.6547,14.6547,1,1,1.0,1,0.6667,1,0.8333,1,0.6667,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
10,29,cross_modal_brca_v2x_seed0,3.5284,1604.2118,454.66,14.5695,14.5695,1,1,1.0,1,0.75,1,0.6,1,0.6667,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
11,30,cross_modal_brca_v2x_seed0,3.4753,1615.3251,464.8,14.3661,14.3661,1,1,1.0,1,1.0,1,1.0,1,0.875,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
12,33,cross_modal_brca_v2x_seed0,3.5043,1596.316,455.54,14.0378,14.0378,1,1,1.0,1,1.0,1,0.5,1,0.7,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
13,37,cross_modal_brca_v2x_seed0,3.4824,1616.1083,464.08,14.3594,14.3594,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
14,39,cross_modal_brca_v2x_seed0,3.5959,1625.2811,451.98,14.111,14.111,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
15,44,cross_modal_brca_v2x_seed0,3.1737,1593.9027,502.22,13.8737,15.629,8,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
16,48,cross_modal_brca_v2x_seed0,6.9806,1511.7893,216.57,17.1169,18.3567,7,0,0.0,0,0.0,0,0.0,1,0.1429,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
17,54,cross_modal_brca_v2x_seed0,7.4773,1529.2994,204.53,15.7636,16.5673,6,0,0.0,0,0.0,0,0.0,1,0.3333,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
18,55,cross_modal_brca_v2x_seed0,3.3578,1624.2224,483.72,14.5813,14.5813,1,1,1.0,1,1.0,1,1.0,1,0.8571,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
19,61,cross_modal_brca_v2x_seed0,8.0689,1502.2231,186.17,16.6656,16.6656,1,1,0.6667,1,0.5,1,0.2857,1,0.3684,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
20,62,cross_modal_brca_v2x_seed0,7.4199,1640.9917,221.16,16.141,16.9995,8,0,0.0,0,0.0,0,0.0,1,0.0833,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
21,64,cross_modal_brca_v2x_seed0,3.1769,1624.7274,511.42,14.4713,14.4713,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
22,65,cross_modal_brca_v2x_seed0,7.1762,1598.9074,222.81,15.708,17.0006,5,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
23,71,cross_modal_brca_v2x_seed0,3.401,1620.8923,476.59,14.5426,14.5426,1,1,1.0,1,1.0,1,0.8333,1,0.8,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
24,77,cross_modal_brca_v2x_seed0,7.0757,1583.1766,223.75,17.4819,17.5334,2,1,0.5,1,0.5,1,0.3333,1,0.2857,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
25,81,cross_modal_brca_v2x_seed0,8.7473,1572.9852,179.82,14.4793,14.4793,1,1,0.5,1,0.6667,1,0.8333,1,0.8,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
26,89,cross_modal_brca_v2x_seed0,8.8737,1596.7163,179.94,13.5882,13.5882,1,1,1.0,1,1.0,1,1.0,1,0.5556,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
27,92,cross_modal_brca_v2x_seed0,3.4111,1642.2521,481.44,14.3477,14.3477,1,1,1.0,1,0.75,1,0.8,1,0.6364,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
28,94,cross_modal_brca_v2x_seed0,8.8435,1456.5289,164.7,14.8246,14.8246,1,1,0.5,1,0.75,1,0.875,1,0.9091,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
29,96,cross_modal_brca_v2x_seed0,8.7877,1584.5042,180.31,14.5749,14.5749,1,1,1.0,1,1.0,1,0.8571,1,0.875,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
30,99,cross_modal_brca_v2x_seed0,8.878,1587.0792,178.77,14.2789,14.7555,2,0,0.0,0,0.0,1,0.5,1,0.9,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
31,102,cross_modal_brca_v2x_seed0,8.9928,1560.7138,173.55,14.3732,14.3732,1,1,1.0,1,0.8571,1,0.9231,1,0.9259,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
32,105,cross_modal_brca_v2x_seed0,8.7895,1566.8257,178.26,14.6299,14.6299,1,1,1.0,1,1.0,1,0.75,1,0.875,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
33,108,cross_modal_brca_v2x_seed0,8.5793,1617.6762,188.56,14.5208,14.5208,1,1,1.0,1,0.3333,1,0.3333,1,0.381,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
34,109,cross_modal_brca_v2x_seed0,8.6239,1592.3695,184.65,14.3998,14.3998,1,1,1.0,1,1.0,1,0.6667,1,0.5333,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
35,110,cross_modal_brca_v2x_seed0,3.4191,1627.0515,475.88,14.5276,14.5276,1,1,1.0,1,1.0,1,1.0,1,0.8571,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
36,119,cross_modal_brca_v2x_seed0,8.9654,1550.6586,172.96,14.5419,14.5419,1,1,1.0,1,1.0,1,0.6667,1,0.8889,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
37,123,cross_modal_brca_v2x_seed0,8.8115,1564.8796,177.6,14.7241,14.7241,1,1,0.5,1,0.8,1,0.8333,1,0.9286,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
38,127,cross_modal_brca_v2x_seed0,8.7972,1588.3471,180.55,12.574,13.7302,2,0,0.0,0,0.0,0,0.0,1,0.5,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
39,128,cross_modal_brca_v2x_seed0,8.3649,1615.6997,193.15,15.1005,15.721,4,0,0.0,0,0.0,1,0.25,1,0.3333,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
40,129,cross_modal_brca_v2x_seed0,8.8493,1580.0665,178.55,14.6506,14.6506,1,1,0.75,1,0.8333,1,0.75,1,0.8333,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
41,130,cross_modal_brca_v2x_seed0,8.728,1595.738,182.83,14.8693,14.8693,1,1,1.0,1,1.0,1,0.8,1,0.8571,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
42,132,cross_modal_brca_v2x_seed0,8.8112,1572.2578,178.44,14.4378,14.4378,1,1,1.0,1,1.0,1,0.75,1,0.875,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
43,133,cross_modal_brca_v2x_seed0,8.83,1582.1473,179.18,14.9069,14.9069,1,1,1.0,1,0.8333,1,0.75,1,0.92,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
