query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,1.8979,1632.6707,860.23,29.7033,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,1.9341,1584.7897,819.39,113.023,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,1.5128,1619.3568,1070.47,40.151,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,1.2733,1641.8453,1289.42,69.722,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,2.2615,1577.1238,697.37,83.6895,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,2.9056,1455.872,501.05,76.4422,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,2.8679,1614.9668,563.12,72.9032,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,1.2256,1591.8523,1298.83,68.1435,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,1.6367,1616.6643,987.73,31.9867,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,1.6652,1637.0368,983.09,67.1598,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
10,29,cross_modal_brca_v2x_seed0,1.2538,1603.2334,1278.7,84.9654,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
11,30,cross_modal_brca_v2x_seed0,1.3705,1611.93,1176.15,67.4836,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,2,v2x,0,single_niche_baseline,none,3,165,156,2.26
12,33,cross_modal_brca_v2x_seed0,1.24,1594.872,1286.21,84.7514,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
13,37,cross_modal_brca_v2x_seed0,1.2892,1617.1087,1254.36,67.9437,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
14,39,cross_modal_brca_v2x_seed0,1.4478,1626.4017,1123.39,64.6844,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
15,44,cross_modal_brca_v2x_seed0,1.0384,1593.4971,1534.63,102.9739,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
16,48,cross_modal_brca_v2x_seed0,5.278,1509.7103,286.04,24.7309,26.0501,4,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
17,54,cross_modal_brca_v2x_seed0,5.4956,1530.1417,278.43,25.211,25.211,1,1,1.0,1,1.0,1,1.0,1,0.4,0,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
18,55,cross_modal_brca_v2x_seed0,1.9264,1622.0862,842.02,30.5916,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
19,61,cross_modal_brca_v2x_seed0,4.4972,1499.4093,333.41,32.9167,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
20,62,cross_modal_brca_v2x_seed0,3.9613,1637.0818,413.27,33.2394,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
21,64,cross_modal_brca_v2x_seed0,2.0372,1622.3996,796.38,27.9099,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
22,65,cross_modal_brca_v2x_seed0,5.1554,1599.7851,310.31,26.9957,27.918,5,0,0.0,0,0.0,0,0.0,1,0.1667,0,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
23,71,cross_modal_brca_v2x_seed0,1.4587,1623.096,1112.71,81.2842,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,none,3,165,156,2.26
24,77,cross_modal_brca_v2x_seed0,5.9376,1583.1353,266.63,23.113,23.113,1,1,1.0,1,1.0,1,1.0,1,0.75,0,0,v2x,0,single_niche_baseline,none,3,165,156,2.26
