query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,3.2969,1637.819,496.78,13.3654,15.9769,22,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,3.4966,1589.3258,454.54,30.3837,,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,3.4593,1632.3815,471.88,14.9673,14.9673,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,2.052,1649.9483,804.07,19.6255,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,6.1148,1576.1034,257.75,22.4311,27.4675,45,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,7.8648,1458.3813,185.43,19.758,24.2964,45,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,7.5672,1619.1973,213.98,20.4988,24.9669,46,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,2.1402,1593.9787,744.79,18.3124,,-1,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,2.9724,1624.5039,546.53,13.9368,16.6577,13,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,2.8965,1638.6293,565.72,17.505,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,1,v2x,0,single_niche_baseline,per_niche,3,165,156,2.26
