query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,23.1662,1511.3183,65.24,114.9134,114.9134,1,1,1.0,1,1.0,1,1.0,1,0.8333,0,x2v,0,all_niche,global,2,156,165,8.8
1,1,cross_modal_brca_x2v_seed0,20.3338,1499.7423,73.76,119.2503,119.2503,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
2,2,cross_modal_brca_x2v_seed0,19.872,1494.7211,75.22,121.4278,121.4278,1,1,1.0,1,1.0,1,1.0,1,0.8,0,x2v,0,all_niche,global,2,156,165,8.8
3,3,cross_modal_brca_x2v_seed0,19.4842,1500.4014,77.01,122.5358,122.5358,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
4,4,cross_modal_brca_x2v_seed0,19.7218,1479.2577,75.01,123.0195,123.0195,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
5,9,cross_modal_brca_x2v_seed0,20.0446,1517.6804,75.72,119.2925,119.2925,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
6,12,cross_modal_brca_x2v_seed0,20.0557,1510.4708,75.31,119.268,119.268,1,1,1.0,1,1.0,1,1.0,1,0.8571,0,x2v,0,all_niche,global,2,156,165,8.8
7,13,cross_modal_brca_x2v_seed0,19.574,1499.7837,76.62,122.6417,122.6417,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
8,19,cross_modal_brca_x2v_seed0,19.6922,1494.3103,75.88,120.3783,120.3783,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
9,21,cross_modal_brca_x2v_seed0,20.0511,1506.5566,75.14,119.088,119.088,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
10,25,cross_modal_brca_x2v_seed0,19.9181,1503.1285,75.47,119.4075,119.4075,1,1,1.0,1,1.0,1,1.0,1,0.8333,0,x2v,0,all_niche,global,2,156,165,8.8
11,32,cross_modal_brca_x2v_seed0,20.7487,1496.8958,72.14,117.9403,117.9403,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
12,36,cross_modal_brca_x2v_seed0,20.1138,1499.852,74.57,116.1418,116.1418,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
13,37,cross_modal_brca_x2v_seed0,20.1713,1496.9703,74.21,117.5708,117.5708,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
14,42,cross_modal_brca_x2v_seed0,20.226,1507.9726,74.56,116.5411,116.5411,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
15,45,cross_modal_brca_x2v_seed0,18.995,1480.3598,77.93,126.7922,126.7922,1,1,1.0,1,1.0,1,1.0,1,0.75,0,x2v,0,all_niche,global,2,156,165,8.8
16,55,cross_modal_brca_x2v_seed0,20.3938,1512.2491,74.15,116.363,116.363,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
17,60,cross_modal_brca_x2v_seed0,20.0128,1509.9289,75.45,117.7489,117.7489,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
18,62,cross_modal_brca_x2v_seed0,19.8124,1491.3026,75.27,120.0019,120.0019,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
19,64,cross_modal_brca_x2v_seed0,19.8838,1502.608,75.57,120.2461,120.2461,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
20,65,cross_modal_brca_x2v_seed0,20.1319,1502.8288,74.65,114.2876,114.2876,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
21,72,cross_modal_brca_x2v_seed0,20.3851,1472.3986,72.23,115.5499,115.5499,1,1,1.0,1,1.0,1,1.0,1,0.8,0,x2v,0,all_niche,global,2,156,165,8.8
22,74,cross_modal_brca_x2v_seed0,19.9825,1505.428,75.34,117.902,117.902,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
23,75,cross_modal_brca_x2v_seed0,20.1065,1508.6528,75.03,118.8947,118.8947,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
24,78,cross_modal_brca_x2v_seed0,20.2679,1506.8925,74.35,115.0709,115.0709,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
25,81,cross_modal_brca_x2v_seed0,20.4913,1507.2098,73.55,114.1144,114.1144,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
26,83,cross_modal_brca_x2v_seed0,20.2029,1472.2635,72.87,117.0671,117.0671,1,1,1.0,1,1.0,1,1.0,1,0.8,0,x2v,0,all_niche,global,2,156,165,8.8
27,85,cross_modal_brca_x2v_seed0,20.2112,1491.2177,73.78,114.7827,114.7827,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
28,92,cross_modal_brca_x2v_seed0,19.6935,1509.65,76.66,119.3803,119.3803,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
29,95,cross_modal_brca_x2v_seed0,20.1722,1503.2262,74.52,115.1787,115.1787,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
30,98,cross_modal_brca_x2v_seed0,19.3955,1486.5838,76.65,120.5669,120.5669,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
31,101,cross_modal_brca_x2v_seed0,20.0279,1490.5512,74.42,114.9282,114.9282,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
32,105,cross_modal_brca_x2v_seed0,19.9091,1495.1606,75.1,117.3178,117.3178,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
33,107,cross_modal_brca_x2v_seed0,20.2417,1512.2037,74.71,114.4549,114.4549,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
34,110,cross_modal_brca_x2v_seed0,19.9324,1493.4554,74.93,116.7816,116.7816,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
35,111,cross_modal_brca_x2v_seed0,19.5569,1496.2892,76.51,119.1909,119.1909,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
36,115,cross_modal_brca_x2v_seed0,20.1523,1509.6651,74.91,116.8015,116.8015,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
37,120,cross_modal_brca_x2v_seed0,19.0895,1477.6488,77.41,123.5806,123.5806,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
38,123,cross_modal_brca_x2v_seed0,19.2157,1476.4885,76.84,122.1697,122.1697,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
39,126,cross_modal_brca_x2v_seed0,19.7665,1481.1895,74.93,121.1811,121.1811,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
40,128,cross_modal_brca_x2v_seed0,19.1851,1477.9389,77.04,120.7245,120.7245,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
41,134,cross_modal_brca_x2v_seed0,20.1212,1494.911,74.3,115.4487,115.4487,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,global,2,156,165,8.8
