query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,23.8393,1506.685,63.2,28.2896,28.2896,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
1,1,cross_modal_brca_x2v_seed0,21.459,1491.872,69.52,33.654,33.654,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
2,2,cross_modal_brca_x2v_seed0,21.2385,1485.7647,69.96,37.0734,37.0734,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
3,3,cross_modal_brca_x2v_seed0,21.0226,1490.0549,70.88,37.0569,37.0569,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
4,4,cross_modal_brca_x2v_seed0,21.0115,1469.9716,69.96,39.6296,39.6296,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
5,9,cross_modal_brca_x2v_seed0,20.9064,1506.2568,72.05,30.4039,30.4039,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
6,12,cross_modal_brca_x2v_seed0,21.0014,1496.2584,71.25,32.0301,32.0301,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
7,13,cross_modal_brca_x2v_seed0,21.0113,1496.7664,71.24,36.1697,36.1697,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
8,19,cross_modal_brca_x2v_seed0,21.0533,1482.2854,70.41,37.4138,37.4138,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
9,21,cross_modal_brca_x2v_seed0,20.9574,1490.6353,71.13,31.8112,31.8112,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
10,25,cross_modal_brca_x2v_seed0,21.6225,1493.2169,69.06,33.2101,33.2101,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
11,32,cross_modal_brca_x2v_seed0,20.8337,1488.0199,71.42,30.9015,30.9015,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
12,36,cross_modal_brca_x2v_seed0,21.0362,1488.1471,70.74,29.414,29.414,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,none,2,156,165,8.7
13,37,cross_modal_brca_x2v_seed0,20.8971,1490.1498,71.31,30.6338,30.6338,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
14,42,cross_modal_brca_x2v_seed0,20.9966,1500.9062,71.48,27.9857,27.9857,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
15,45,cross_modal_brca_x2v_seed0,21.1209,1473.6013,69.77,38.7632,38.7632,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,none,2,156,165,8.7
16,55,cross_modal_brca_x2v_seed0,20.9482,1503.8647,71.79,27.6403,27.6403,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
17,60,cross_modal_brca_x2v_seed0,21.0902,1501.419,71.19,28.1199,28.1199,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
18,62,cross_modal_brca_x2v_seed0,20.8851,1482.5779,70.99,34.249,34.249,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
19,64,cross_modal_brca_x2v_seed0,21.0668,1495.971,71.01,32.648,32.648,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
20,65,cross_modal_brca_x2v_seed0,20.8502,1498.4699,71.87,28.4153,28.4153,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
21,72,cross_modal_brca_x2v_seed0,20.9548,1463.6272,69.85,32.9417,32.9417,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
22,74,cross_modal_brca_x2v_seed0,20.8966,1504.1272,71.98,30.8239,30.8239,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,none,2,156,165,8.7
23,75,cross_modal_brca_x2v_seed0,21.0362,1503.4344,71.47,31.9725,31.9725,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
24,78,cross_modal_brca_x2v_seed0,20.8929,1501.8784,71.88,29.3496,29.3496,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
25,81,cross_modal_brca_x2v_seed0,21.0672,1501.0117,71.25,25.774,25.774,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
26,83,cross_modal_brca_x2v_seed0,20.9799,1465.4634,69.85,31.3673,31.3673,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
27,85,cross_modal_brca_x2v_seed0,21.0134,1483.5137,70.6,31.4902,31.4902,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
28,92,cross_modal_brca_x2v_seed0,21.1612,1502.4017,71.0,31.5554,31.5554,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,none,2,156,165,8.7
29,95,cross_modal_brca_x2v_seed0,21.0329,1493.2617,71.0,28.469,28.469,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
30,98,cross_modal_brca_x2v_seed0,21.2841,1478.7321,69.48,37.3038,37.3038,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,none,2,156,165,8.7
31,101,cross_modal_brca_x2v_seed0,21.081,1483.8369,70.39,31.9012,31.9012,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
32,105,cross_modal_brca_x2v_seed0,21.1017,1489.1816,70.57,33.6817,33.6817,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
33,107,cross_modal_brca_x2v_seed0,21.1049,1505.9426,71.35,25.5688,25.5688,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
34,110,cross_modal_brca_x2v_seed0,21.0046,1486.2362,70.76,33.6288,33.6288,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,0,all_niche,none,2,156,165,8.7
