query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,24.4188,1506.7119,61.7,25.0208,25.0208,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
1,1,cross_modal_brca_x2v_seed0,21.7008,1495.2112,68.9,24.4992,24.4992,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
2,2,cross_modal_brca_x2v_seed0,21.4614,1488.4534,69.35,26.8046,26.8046,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
3,3,cross_modal_brca_x2v_seed0,21.3143,1493.7183,70.08,25.9092,25.9092,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
4,4,cross_modal_brca_x2v_seed0,21.3271,1475.86,69.2,28.8472,28.8472,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
5,9,cross_modal_brca_x2v_seed0,21.3439,1508.3659,70.67,27.3213,27.3213,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
6,12,cross_modal_brca_x2v_seed0,21.2961,1500.2423,70.45,23.4339,23.4339,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
7,13,cross_modal_brca_x2v_seed0,21.2714,1495.8371,70.32,24.5654,24.5654,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
8,19,cross_modal_brca_x2v_seed0,21.3524,1487.6237,69.67,26.6992,26.6992,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
9,21,cross_modal_brca_x2v_seed0,21.3195,1497.2792,70.23,23.2146,23.2146,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
10,25,cross_modal_brca_x2v_seed0,21.3303,1497.3972,70.2,23.1611,23.1611,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
11,32,cross_modal_brca_x2v_seed0,21.2994,1497.0412,70.29,23.9845,23.9845,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
12,36,cross_modal_brca_x2v_seed0,21.3416,1499.0434,70.24,27.9929,27.9929,1,1,1.0,1,1.0,1,1.0,1,1.0,1,x2v,0,all_niche,per_niche,2,156,165,8.59
