query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,1.0974,1511.3183,1377.18,114.9134,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
1,1,cross_modal_brca_x2v_seed0,1.037,1499.7423,1446.23,119.2503,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
2,2,cross_modal_brca_x2v_seed0,0.9927,1494.7211,1505.76,121.4278,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
3,3,cross_modal_brca_x2v_seed0,0.9912,1500.4014,1513.77,122.5358,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
4,4,cross_modal_brca_x2v_seed0,0.9884,1479.2577,1496.59,123.0195,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
5,9,cross_modal_brca_x2v_seed0,1.0012,1517.6804,1515.94,119.2925,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
6,12,cross_modal_brca_x2v_seed0,1.0021,1510.4708,1507.26,119.268,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
7,13,cross_modal_brca_x2v_seed0,0.9851,1499.7837,1522.5,122.6417,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
8,19,cross_modal_brca_x2v_seed0,0.9854,1494.3103,1516.51,120.3783,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
9,21,cross_modal_brca_x2v_seed0,0.988,1506.5566,1524.93,119.088,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.8
