query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,1.7998,1506.685,837.12,28.2896,31.318,12,0,0.0,0,0.0,1,0.0833,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
1,1,cross_modal_brca_x2v_seed0,1.642,1491.872,908.59,33.654,35.0202,7,0,0.0,1,0.125,1,0.1875,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
2,2,cross_modal_brca_x2v_seed0,1.6045,1485.7647,926.0,37.0734,39.8121,8,0,0.0,0,0.0,1,0.1818,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
3,3,cross_modal_brca_x2v_seed0,1.6152,1490.0549,922.53,37.0569,38.4855,4,0,0.0,1,0.25,1,0.3125,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
4,4,cross_modal_brca_x2v_seed0,1.5974,1469.9716,920.25,39.6296,40.9417,2,0,0.0,1,0.2,1,0.3846,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
5,9,cross_modal_brca_x2v_seed0,1.6087,1506.2568,936.31,30.4039,32.0032,4,0,0.0,1,0.1429,1,0.2,1,0.3636,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
6,12,cross_modal_brca_x2v_seed0,1.6017,1496.2584,934.17,32.0301,36.6676,12,0,0.0,0,0.0,0,0.0,1,0.2917,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
7,13,cross_modal_brca_x2v_seed0,1.6101,1496.7664,929.59,36.1697,36.8001,4,1,0.25,1,0.5,1,0.4211,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
8,19,cross_modal_brca_x2v_seed0,1.6104,1482.2854,920.44,37.4138,38.0616,4,1,0.25,1,0.1429,1,0.3158,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
9,21,cross_modal_brca_x2v_seed0,1.6077,1490.6353,927.17,31.8112,33.4371,5,0,0.0,1,0.1429,1,0.0909,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
10,25,cross_modal_brca_x2v_seed0,1.6098,1493.2169,927.58,33.2101,36.6943,9,0,0.0,0,0.0,1,0.25,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
11,32,cross_modal_brca_x2v_seed0,1.6138,1488.0199,922.05,30.9015,32.4709,4,0,0.0,1,0.1429,1,0.2667,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
12,36,cross_modal_brca_x2v_seed0,1.6163,1488.1471,920.69,29.414,29.414,1,1,0.6667,1,0.4,1,0.5,1,0.4,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
13,37,cross_modal_brca_x2v_seed0,1.5999,1490.1498,931.39,30.6338,36.8284,11,0,0.0,0,0.0,0,0.0,1,0.2353,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
14,42,cross_modal_brca_x2v_seed0,1.695,1500.9062,885.5,27.9857,29.5202,4,0,0.0,1,0.25,1,0.1111,1,0.3158,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
15,45,cross_modal_brca_x2v_seed0,1.592,1473.6013,925.64,38.7632,38.7632,1,1,1.0,1,1.0,1,1.0,1,0.6667,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
16,55,cross_modal_brca_x2v_seed0,1.6219,1503.8647,927.23,27.6403,31.2416,10,0,0.0,0,0.0,1,0.0909,1,0.3,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
17,60,cross_modal_brca_x2v_seed0,1.6041,1501.419,935.96,28.1199,31.1895,6,0,0.0,0,0.0,1,0.2222,1,0.3478,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
18,62,cross_modal_brca_x2v_seed0,1.6057,1482.5779,923.31,34.249,37.2421,11,0,0.0,0,0.0,1,0.1667,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
19,64,cross_modal_brca_x2v_seed0,1.6067,1495.971,931.08,32.648,35.5101,10,0,0.0,0,0.0,1,0.1667,1,0.3478,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
20,65,cross_modal_brca_x2v_seed0,1.6083,1498.4699,931.7,28.4153,30.4012,5,0,0.0,1,0.2,1,0.2857,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
21,72,cross_modal_brca_x2v_seed0,1.6116,1463.6272,908.17,32.9417,34.1806,4,0,0.0,1,0.3333,1,0.3571,1,0.3636,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
22,74,cross_modal_brca_x2v_seed0,1.6134,1504.1272,932.26,30.8239,30.8239,1,1,1.0,1,1.0,1,1.0,1,0.4118,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
23,75,cross_modal_brca_x2v_seed0,1.6056,1503.4344,936.37,31.9725,35.4816,6,0,0.0,0,0.0,1,0.125,1,0.3636,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
24,78,cross_modal_brca_x2v_seed0,1.6034,1501.8784,936.69,29.3496,31.7458,5,0,0.0,0,0.0,1,0.2727,1,0.381,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
25,81,cross_modal_brca_x2v_seed0,1.6041,1501.0117,935.71,25.774,29.9265,8,0,0.0,0,0.0,0,0.0,1,0.2222,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
26,83,cross_modal_brca_x2v_seed0,1.6147,1465.4634,907.58,31.3673,32.2194,2,0,0.0,1,0.2,1,0.375,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
27,85,cross_modal_brca_x2v_seed0,1.6036,1483.5137,925.14,31.4902,33.1969,6,0,0.0,1,0.1667,1,0.1667,1,0.2917,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
28,92,cross_modal_brca_x2v_seed0,1.6181,1502.4017,928.47,31.5554,31.5554,1,1,0.5,1,0.2,1,0.2308,1,0.4211,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
29,95,cross_modal_brca_x2v_seed0,1.6099,1493.2617,927.56,28.469,30.9941,8,0,0.0,0,0.0,1,0.1667,1,0.3043,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
30,98,cross_modal_brca_x2v_seed0,1.6211,1478.7321,912.17,37.3038,37.3038,1,1,1.0,1,0.5,1,0.3333,1,0.4,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
31,101,cross_modal_brca_x2v_seed0,1.6096,1483.8369,921.86,31.9012,35.2993,7,0,0.0,0,0.0,1,0.1,1,0.3478,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
32,105,cross_modal_brca_x2v_seed0,1.7101,1489.1816,870.8,33.6817,33.7634,2,1,0.2,1,0.2222,1,0.3684,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
33,107,cross_modal_brca_x2v_seed0,1.5998,1505.9426,941.35,25.5688,27.8104,5,0,0.0,0,0.0,1,0.25,1,0.3158,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
34,110,cross_modal_brca_x2v_seed0,1.6037,1486.2362,926.74,33.6288,35.1346,7,0,0.0,1,0.125,1,0.3889,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
35,111,cross_modal_brca_x2v_seed0,1.6043,1488.5559,927.84,33.6756,33.6756,1,1,0.5,1,0.3333,1,0.4615,1,0.381,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
36,115,cross_modal_brca_x2v_seed0,1.6021,1502.3725,937.76,29.6627,29.6627,1,1,1.0,1,0.5,1,0.375,1,0.3125,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
37,120,cross_modal_brca_x2v_seed0,1.588,1472.3086,927.14,42.3534,42.3534,1,1,1.0,1,0.75,1,0.5,1,0.5,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
38,123,cross_modal_brca_x2v_seed0,1.5885,1472.5063,927.01,40.7022,40.7022,1,1,1.0,1,0.8,1,0.5556,1,0.5,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
39,126,cross_modal_brca_x2v_seed0,1.5911,1476.9351,928.25,37.5921,37.5921,1,1,1.0,1,0.6667,1,0.5,1,0.5,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
40,128,cross_modal_brca_x2v_seed0,1.5812,1473.9103,932.14,39.0665,39.256,2,1,0.5,1,0.4,1,0.4286,1,0.3913,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
41,134,cross_modal_brca_x2v_seed0,1.5828,1489.0392,940.76,32.3147,34.1498,6,0,0.0,1,0.1667,1,0.2857,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
42,141,cross_modal_brca_x2v_seed0,1.5834,1493.1856,943.0,34.7081,34.7081,1,1,0.2,1,0.25,1,0.3,1,0.3636,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
43,142,cross_modal_brca_x2v_seed0,1.5927,1487.1394,933.75,33.3636,36.4784,7,0,0.0,0,0.0,1,0.3333,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
44,150,cross_modal_brca_x2v_seed0,1.5874,1485.5706,935.86,35.2443,35.5677,3,1,0.2,1,0.2222,1,0.4706,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
45,153,cross_modal_brca_x2v_seed0,1.588,1485.5447,935.46,32.9798,34.3998,5,0,0.0,1,0.1667,1,0.3571,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
46,156,cross_modal_brca_x2v_seed0,1.5923,1498.7599,941.26,32.8591,34.0909,3,0,0.0,1,0.3333,1,0.4,1,0.3333,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
47,157,cross_modal_brca_x2v_seed0,1.5951,1500.3456,940.58,31.7694,32.3296,3,1,0.25,1,0.125,1,0.3077,1,0.32,1,0,x2v,0,single_niche_baseline,none,2,156,165,8.7
48,162,cross_modal_brca_x2v_seed0,1.6084,1480.9593,920.76,39.1486,39.1486,1,1,1.0,1,1.0,1,1.0,1,0.6154,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
49,164,cross_modal_brca_x2v_seed0,1.5957,1470.2331,921.38,39.5627,39.5627,1,1,1.0,1,1.0,1,0.5,1,0.5,1,1,x2v,0,single_niche_baseline,none,2,156,165,8.7
