query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,1.7165,1506.7119,877.8,25.0208,25.0208,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
1,1,cross_modal_brca_x2v_seed0,1.6303,1495.2112,917.11,24.4992,24.4992,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
2,2,cross_modal_brca_x2v_seed0,1.6096,1488.4534,924.73,26.8046,26.8046,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
3,3,cross_modal_brca_x2v_seed0,1.6066,1493.7183,929.77,25.9092,25.9092,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
4,4,cross_modal_brca_x2v_seed0,1.5894,1475.86,928.56,28.8472,28.8472,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
5,9,cross_modal_brca_x2v_seed0,1.5907,1508.3659,948.26,27.3213,27.3213,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
6,12,cross_modal_brca_x2v_seed0,1.593,1500.2423,941.78,23.4339,23.4339,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
7,13,cross_modal_brca_x2v_seed0,1.5915,1495.8371,939.88,24.5654,24.5654,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
8,19,cross_modal_brca_x2v_seed0,1.5814,1487.6237,940.71,26.6992,26.6992,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
9,21,cross_modal_brca_x2v_seed0,1.5886,1497.2792,942.53,23.2146,23.2146,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
10,25,cross_modal_brca_x2v_seed0,1.5821,1497.3972,946.45,23.1611,23.1611,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
11,32,cross_modal_brca_x2v_seed0,1.597,1497.0412,937.42,23.9845,23.9845,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
12,36,cross_modal_brca_x2v_seed0,1.5824,1499.0434,947.31,27.9929,27.9929,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
13,37,cross_modal_brca_x2v_seed0,1.5761,1495.7091,948.97,25.3466,25.3466,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
14,42,cross_modal_brca_x2v_seed0,1.6977,1508.8205,888.74,21.0456,21.0456,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
15,45,cross_modal_brca_x2v_seed0,1.6291,1481.6301,909.5,26.6374,26.6374,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
16,55,cross_modal_brca_x2v_seed0,1.5996,1508.5936,943.13,22.3623,22.3623,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
17,60,cross_modal_brca_x2v_seed0,1.5912,1506.9705,947.05,21.778,21.778,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
18,62,cross_modal_brca_x2v_seed0,1.5858,1490.9728,940.18,27.7789,27.7789,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
19,64,cross_modal_brca_x2v_seed0,1.5964,1500.7646,940.09,25.6538,25.6538,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
20,65,cross_modal_brca_x2v_seed0,1.5906,1501.9125,944.25,22.3017,22.3017,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
21,72,cross_modal_brca_x2v_seed0,1.5789,1469.808,930.9,27.9545,27.9545,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
22,74,cross_modal_brca_x2v_seed0,1.5884,1503.1982,946.37,29.0269,29.0269,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
23,75,cross_modal_brca_x2v_seed0,1.5871,1505.9496,948.87,24.6319,24.6319,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
24,78,cross_modal_brca_x2v_seed0,1.6024,1505.4362,939.47,25.4684,25.4684,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,x2v,0,single_niche_baseline,per_niche,2,156,165,8.59
