query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_v2x_seed0,2.6878,1634.0981,607.96,14.9283,16.5586,12,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
1,1,cross_modal_brca_v2x_seed0,9.4925,1591.3264,167.64,14.1382,14.851,2,0,0.0,0,0.0,0,0.0,1,0.5,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
2,4,cross_modal_brca_v2x_seed0,3.5921,1620.6923,451.18,13.2884,13.2884,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
3,6,cross_modal_brca_v2x_seed0,2.7291,1643.4923,602.21,16.0548,16.792,7,0,0.0,0,0.0,0,0.0,1,0.2,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
4,7,cross_modal_brca_v2x_seed0,8.7716,1571.0901,179.11,14.5887,14.5887,1,1,1.0,1,0.5,1,0.4,1,0.4286,0,0,v2x,0,single_niche_baseline,global,3,165,156,2.26
5,10,cross_modal_brca_v2x_seed0,8.7673,1452.9569,165.73,15.4242,15.8462,3,0,0.0,0,0.0,1,0.3333,1,0.4,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
6,14,cross_modal_brca_v2x_seed0,8.6592,1612.1353,186.18,14.8829,16.5522,7,0,0.0,0,0.0,0,0.0,0,0.0,0,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
7,17,cross_modal_brca_v2x_seed0,3.2981,1590.6096,482.28,14.834,15.87,5,0,0.0,0,0.0,0,0.0,1,0.25,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
8,25,cross_modal_brca_v2x_seed0,2.4232,1614.1632,666.12,13.6544,18.1799,23,0,0.0,0,0.0,0,0.0,0,0.0,2,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
9,27,cross_modal_brca_v2x_seed0,3.5464,1634.0453,460.76,14.6547,14.6547,1,1,1.0,1,0.6667,1,0.8333,1,0.6667,1,1,v2x,0,single_niche_baseline,global,3,165,156,2.26
