query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,searched_niche,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed0,1.1048,1507.7631,1364.79,114.9134,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
1,1,cross_modal_brca_x2v_seed0,1.0242,1496.0815,1460.67,119.2503,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
2,2,cross_modal_brca_x2v_seed0,0.9884,1490.8754,1508.43,121.4278,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
3,3,cross_modal_brca_x2v_seed0,0.9853,1497.1133,1519.41,122.5358,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
4,4,cross_modal_brca_x2v_seed0,0.983,1475.1946,1500.74,123.0195,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
5,9,cross_modal_brca_x2v_seed0,0.9943,1516.7619,1525.5,119.2925,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
6,12,cross_modal_brca_x2v_seed0,1.0004,1506.6312,1505.99,119.268,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
7,13,cross_modal_brca_x2v_seed0,0.9828,1495.989,1522.22,122.6417,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
8,19,cross_modal_brca_x2v_seed0,0.9791,1488.3801,1520.11,120.3783,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
9,21,cross_modal_brca_x2v_seed0,0.9863,1500.7207,1521.61,119.088,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
10,25,cross_modal_brca_x2v_seed0,0.9956,1498.135,1504.8,119.4075,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
11,32,cross_modal_brca_x2v_seed0,0.9966,1492.3805,1497.53,117.9403,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
12,36,cross_modal_brca_x2v_seed0,0.9944,1496.7316,1505.13,116.1418,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
13,37,cross_modal_brca_x2v_seed0,1.0006,1500.3445,1499.46,117.5708,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
14,42,cross_modal_brca_x2v_seed0,1.0023,1515.2658,1511.83,116.5411,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
15,45,cross_modal_brca_x2v_seed0,0.9397,1486.9175,1582.3,126.7922,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
16,55,cross_modal_brca_x2v_seed0,0.9917,1511.3629,1524.03,116.363,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
17,60,cross_modal_brca_x2v_seed0,0.9955,1518.5542,1525.34,117.7489,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
18,62,cross_modal_brca_x2v_seed0,0.991,1498.6973,1512.28,120.0019,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
19,64,cross_modal_brca_x2v_seed0,0.9843,1508.8092,1532.8,120.2461,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
20,65,cross_modal_brca_x2v_seed0,1.0005,1515.5828,1514.81,114.2876,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
21,72,cross_modal_brca_x2v_seed0,0.9955,1480.184,1486.89,115.5499,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
22,74,cross_modal_brca_x2v_seed0,0.9901,1501.4373,1516.5,117.902,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
23,75,cross_modal_brca_x2v_seed0,0.9842,1506.245,1530.43,118.8947,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
24,78,cross_modal_brca_x2v_seed0,0.9912,1506.2012,1519.51,115.0709,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
25,81,cross_modal_brca_x2v_seed0,0.9932,1506.3618,1516.63,114.1144,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
26,83,cross_modal_brca_x2v_seed0,0.9856,1469.837,1491.24,117.0671,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
27,85,cross_modal_brca_x2v_seed0,0.9853,1487.6898,1509.92,114.7827,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
28,92,cross_modal_brca_x2v_seed0,0.9814,1505.1243,1533.68,119.3803,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
29,95,cross_modal_brca_x2v_seed0,0.9917,1497.306,1509.82,115.1787,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
30,98,cross_modal_brca_x2v_seed0,1.1021,1483.6054,1346.19,120.5669,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
31,101,cross_modal_brca_x2v_seed0,1.0041,1490.9713,1484.84,114.9282,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
32,105,cross_modal_brca_x2v_seed0,0.9853,1494.6925,1516.99,117.3178,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
33,107,cross_modal_brca_x2v_seed0,1.0045,1510.7096,1503.96,114.4549,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
34,110,cross_modal_brca_x2v_seed0,0.9823,1492.2733,1519.17,116.7816,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
35,111,cross_modal_brca_x2v_seed0,0.9803,1492.8193,1522.81,119.1909,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
36,115,cross_modal_brca_x2v_seed0,0.9946,1508.0449,1516.2,116.8015,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
37,120,cross_modal_brca_x2v_seed0,0.9297,1474.0358,1585.52,123.5806,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
38,123,cross_modal_brca_x2v_seed0,0.9964,1474.5374,1479.91,122.1697,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
39,126,cross_modal_brca_x2v_seed0,0.9409,1480.232,1573.23,121.1811,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
40,128,cross_modal_brca_x2v_seed0,0.9555,1473.3885,1541.98,120.7245,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
41,134,cross_modal_brca_x2v_seed0,0.9782,1490.1104,1523.24,115.4487,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
42,141,cross_modal_brca_x2v_seed0,0.971,1492.6799,1537.18,119.7163,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
43,142,cross_modal_brca_x2v_seed0,0.9835,1486.2638,1511.19,118.5238,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
44,150,cross_modal_brca_x2v_seed0,0.9589,1485.8081,1549.56,118.563,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
45,153,cross_modal_brca_x2v_seed0,0.9849,1487.7765,1510.51,117.3545,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
46,156,cross_modal_brca_x2v_seed0,0.996,1504.1922,1510.28,120.0501,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
47,157,cross_modal_brca_x2v_seed0,0.9908,1501.5401,1515.55,117.865,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
48,162,cross_modal_brca_x2v_seed0,0.9391,1484.4866,1580.81,125.8817,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
49,164,cross_modal_brca_x2v_seed0,0.9425,1473.3187,1563.24,122.3231,,-1,0,0.0,0,0.0,0,0.0,0,0.0,1,0,x2v,0,single_niche_baseline,global,2,156,165,8.54
