query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,1,cross_modal_brca_v2x_seed3,19.7452,1581.5966,80.1,14.0673,14.0673,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
1,9,cross_modal_brca_v2x_seed3,16.3981,1594.9518,97.26,14.0073,14.0073,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
2,17,cross_modal_brca_v2x_seed3,15.3307,1589.9053,103.71,14.8759,14.8759,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
3,18,cross_modal_brca_v2x_seed3,14.5417,1654.1648,113.75,15.0713,15.0713,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
4,19,cross_modal_brca_v2x_seed3,15.6706,1584.6446,101.12,14.5447,14.5447,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
5,27,cross_modal_brca_v2x_seed3,14.675,1632.7374,111.26,14.6945,14.6945,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
6,29,cross_modal_brca_v2x_seed3,14.8673,1598.9179,107.55,14.5416,14.5416,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
7,31,cross_modal_brca_v2x_seed3,14.787,1601.3515,108.29,15.2455,15.2455,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
8,37,cross_modal_brca_v2x_seed3,14.6311,1613.8831,110.31,14.2505,14.2505,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
9,38,cross_modal_brca_v2x_seed3,14.503,1453.5407,100.22,14.8311,14.8311,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
10,39,cross_modal_brca_v2x_seed3,14.848,1622.019,109.24,13.9744,13.9744,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
11,44,cross_modal_brca_v2x_seed3,15.2308,1601.4416,105.14,13.8149,13.8149,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
12,48,cross_modal_brca_v2x_seed3,11.8949,1511.6751,127.09,17.2266,18.6094,7,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,3,all_niche,global,3,165,156,2.27
13,56,cross_modal_brca_v2x_seed3,11.7174,1641.9709,140.13,16.7773,19.1028,12,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,3,all_niche,global,3,165,156,2.27
14,59,cross_modal_brca_v2x_seed3,14.4562,1462.3908,101.16,14.6464,14.6464,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
15,62,cross_modal_brca_v2x_seed3,12.5939,1642.2012,130.4,16.1728,16.1728,1,1,1.0,1,1.0,1,0.25,1,0.2,1,v2x,3,all_niche,global,3,165,156,2.27
16,63,cross_modal_brca_v2x_seed3,12.9135,1621.7445,125.59,14.3829,14.3829,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
17,65,cross_modal_brca_v2x_seed3,12.2313,1597.5069,130.61,15.8831,15.8831,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
18,66,cross_modal_brca_v2x_seed3,12.3208,1619.1927,131.42,14.4759,14.4759,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
19,72,cross_modal_brca_v2x_seed3,11.3502,1640.3363,144.52,16.6013,18.8312,9,0,0.0,0,0.0,0,0.0,0,0.0,1,v2x,3,all_niche,global,3,165,156,2.27
20,74,cross_modal_brca_v2x_seed3,14.7053,1632.4428,111.01,13.9716,13.9716,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
21,75,cross_modal_brca_v2x_seed3,14.4498,1644.7052,113.82,14.2281,14.2281,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
22,79,cross_modal_brca_v2x_seed3,14.7279,1552.4175,105.41,13.4637,13.4637,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
23,80,cross_modal_brca_v2x_seed3,14.2033,1568.5952,110.44,14.3773,14.3773,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
24,83,cross_modal_brca_v2x_seed3,14.0505,1652.632,117.62,14.7606,14.7606,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
25,84,cross_modal_brca_v2x_seed3,14.5248,1618.8211,111.45,14.9024,14.9024,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
26,85,cross_modal_brca_v2x_seed3,14.3715,1631.3694,113.51,14.3851,14.3851,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
27,87,cross_modal_brca_v2x_seed3,14.3287,1606.9071,112.15,14.5479,14.5479,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
28,88,cross_modal_brca_v2x_seed3,14.8705,1601.3265,107.68,13.5206,13.5206,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
29,89,cross_modal_brca_v2x_seed3,15.1301,1596.7527,105.54,13.6531,13.6531,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
30,92,cross_modal_brca_v2x_seed3,14.8037,1638.0155,110.65,14.3534,14.3534,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
31,97,cross_modal_brca_v2x_seed3,14.4859,1521.1907,105.01,13.6397,13.6397,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
32,104,cross_modal_brca_v2x_seed3,14.4106,1540.736,106.92,14.5235,14.5235,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
33,105,cross_modal_brca_v2x_seed3,14.1239,1564.8083,110.79,14.5287,14.5287,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
34,106,cross_modal_brca_v2x_seed3,14.0829,1585.6808,112.6,14.4745,14.4745,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
35,112,cross_modal_brca_v2x_seed3,14.2307,1588.3255,111.61,14.7597,14.7597,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
36,121,cross_modal_brca_v2x_seed3,14.1153,1454.7834,103.06,15.0348,15.0348,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
37,124,cross_modal_brca_v2x_seed3,14.1502,1578.737,111.57,14.8478,14.8478,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
38,125,cross_modal_brca_v2x_seed3,14.3494,1581.2756,110.2,14.317,14.317,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
39,130,cross_modal_brca_v2x_seed3,14.1461,1597.6642,112.94,14.772,14.772,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
40,131,cross_modal_brca_v2x_seed3,14.0311,1461.2352,104.14,14.8758,14.8758,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
41,136,cross_modal_brca_v2x_seed3,14.644,1584.2985,108.19,14.5094,14.5094,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
42,137,cross_modal_brca_v2x_seed3,13.9933,1608.7635,114.97,14.6565,14.6565,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
43,139,cross_modal_brca_v2x_seed3,14.2209,1580.1659,111.12,14.3797,14.3797,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
44,141,cross_modal_brca_v2x_seed3,14.388,1605.8384,111.61,15.1819,15.1819,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
45,143,cross_modal_brca_v2x_seed3,14.1303,1579.4567,111.78,14.4247,14.4247,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
46,144,cross_modal_brca_v2x_seed3,14.2872,1555.3279,108.86,14.176,14.176,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
47,147,cross_modal_brca_v2x_seed3,14.4523,1556.1049,107.67,14.6202,14.6202,1,1,1.0,1,1.0,1,1.0,1,1.0,0,v2x,3,all_niche,global,3,165,156,2.27
48,154,cross_modal_brca_v2x_seed3,14.4651,1564.5413,108.16,14.1704,14.1704,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
49,155,cross_modal_brca_v2x_seed3,14.5356,1551.6463,106.75,12.9148,12.9148,1,1,1.0,1,1.0,1,1.0,1,1.0,1,v2x,3,all_niche,global,3,165,156,2.27
