query_idx,query_tile_id,Dataset,spindle_time_ms,bf_time_ms,speedup,exact_best_dist,spindle_best_dist,spindle_best_rank,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,recall_at_eps_0.5,overlap_at_eps_0.5,recall_at_eps_1.0,overlap_at_eps_1.0,true_best_niche,direction,seed,variant,correction,n_niches,n_tiles_index,n_tiles_query,build_time_s
0,0,cross_modal_brca_x2v_seed3,22.8507,1504.2045,65.83,116.0706,116.0706,1,1,1.0,1,1.0,1,1.0,1,0.8333,0,x2v,3,all_niche,global,2,156,165,8.67
1,4,cross_modal_brca_x2v_seed3,19.8472,1469.6278,74.05,123.6237,123.6237,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
2,7,cross_modal_brca_x2v_seed3,20.072,1511.2414,75.29,119.9582,119.9582,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
3,10,cross_modal_brca_x2v_seed3,20.3119,1504.9546,74.09,118.5487,118.5487,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
4,11,cross_modal_brca_x2v_seed3,19.902,1495.5721,75.15,120.1825,120.1825,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
5,12,cross_modal_brca_x2v_seed3,20.0855,1502.5805,74.81,120.3195,120.3195,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
6,15,cross_modal_brca_x2v_seed3,19.8013,1503.1455,75.91,121.3007,121.3007,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
7,20,cross_modal_brca_x2v_seed3,20.2778,1512.2788,74.58,117.9131,117.9131,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
8,21,cross_modal_brca_x2v_seed3,19.7979,1495.1645,75.52,120.2341,120.2341,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
9,22,cross_modal_brca_x2v_seed3,19.2164,1485.6332,77.31,124.154,124.154,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
10,24,cross_modal_brca_x2v_seed3,19.396,1486.9596,76.66,122.6046,122.6046,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
11,28,cross_modal_brca_x2v_seed3,20.296,1544.4225,76.09,115.112,115.112,1,1,1.0,1,1.0,1,1.0,1,0.8,0,x2v,3,all_niche,global,2,156,165,8.67
12,34,cross_modal_brca_x2v_seed3,20.4957,1555.0042,75.87,118.5086,118.5086,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
13,41,cross_modal_brca_x2v_seed3,19.995,1513.9571,75.72,115.9483,115.9483,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
14,42,cross_modal_brca_x2v_seed3,19.9731,1520.0791,76.11,117.7387,117.7387,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
15,45,cross_modal_brca_x2v_seed3,18.9368,1490.7405,78.72,127.7477,127.7477,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
16,47,cross_modal_brca_x2v_seed3,20.0546,1507.4474,75.17,117.848,117.848,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
17,48,cross_modal_brca_x2v_seed3,20.2248,1510.5229,74.69,118.143,118.143,1,1,1.0,1,1.0,1,1.0,1,0.8333,0,x2v,3,all_niche,global,2,156,165,8.67
18,51,cross_modal_brca_x2v_seed3,20.244,1517.2228,74.95,115.2059,115.2059,1,1,1.0,1,1.0,1,1.0,1,1.0,0,x2v,3,all_niche,global,2,156,165,8.67
