query_idx,target_niche,exact_best_dist,spindle_best_dist,spindle_best_rank,recall@1,overlap@5,overlap@10,overlap@20
0,1,5.6645,5.6645,1,1,1.0,1.0,1.0
1,1,9.7231,9.7231,1,1,0.8,0.9,0.9
2,1,7.3484,7.3484,1,1,1.0,1.0,1.0
3,1,9.48,9.48,1,1,0.8,0.7,0.8
4,0,44.7333,44.7333,1,1,1.0,1.0,1.0
5,1,7.9192,7.9192,1,1,0.8,0.9,0.95
6,1,5.695,5.695,1,1,1.0,1.0,1.0
7,0,59.7932,59.7932,1,1,1.0,1.0,1.0
8,1,8.2705,8.2705,1,1,1.0,1.0,1.0
9,1,7.9702,10.1253,5,0,0.2,0.3,0.65
10,1,8.3839,8.3839,1,1,1.0,1.0,1.0
11,1,9.2571,9.953,3,0,0.2,0.5,0.7
12,1,9.6425,9.6425,1,1,0.8,0.8,0.8
13,1,9.6849,10.4746,8,0,0.0,0.3,0.5
14,1,8.9278,9.6891,3,0,0.4,0.5,0.65
15,1,8.3565,9.5928,3,0,0.4,0.6,0.8
16,1,7.2332,8.5579,2,0,0.8,0.8,0.85
17,1,7.6094,7.6094,1,1,1.0,1.0,0.9
18,0,49.277,49.277,1,1,1.0,1.0,1.0
19,1,8.1354,8.1354,1,1,1.0,1.0,1.0
20,1,7.1932,7.1932,1,1,1.0,1.0,0.95
21,1,8.5455,8.6409,4,0,0.2,0.3,0.55
22,1,7.2037,7.2037,1,1,1.0,1.0,1.0
23,1,5.781,5.781,1,1,1.0,1.0,1.0
24,0,69.4383,69.4383,1,1,1.0,1.0,1.0
25,1,7.3662,7.3662,1,1,0.6,0.6,0.65
26,1,7.3414,9.5206,8,0,0.0,0.1,0.45
27,0,31.3417,31.3417,1,1,1.0,1.0,1.0
28,0,41.4132,41.4132,1,1,1.0,1.0,1.0
29,1,6.5615,6.5615,1,1,1.0,0.8,0.9
30,0,53.935,53.935,1,1,1.0,1.0,1.0
31,0,51.8864,51.8864,1,1,1.0,1.0,1.0
32,1,7.1332,7.1332,1,1,0.6,0.7,0.8
33,1,7.6582,8.3828,3,0,0.4,0.7,0.7
34,0,49.4585,49.4585,1,1,1.0,1.0,1.0
35,0,44.6081,44.6081,1,1,1.0,1.0,1.0
36,0,49.4846,49.4846,1,1,1.0,1.0,1.0
37,1,7.5157,7.5157,1,1,1.0,1.0,0.95
38,0,49.068,49.068,1,1,1.0,1.0,1.0
39,0,45.2257,45.2257,1,1,1.0,1.0,1.0
40,0,41.4488,41.4488,1,1,1.0,1.0,1.0
41,1,7.1477,7.9815,4,0,0.4,0.7,0.8
42,0,55.7072,55.7072,1,1,1.0,1.0,1.0
43,0,51.5131,51.5131,1,1,1.0,1.0,1.0
44,1,9.3765,9.3765,1,1,1.0,1.0,1.0
45,1,8.9101,8.9427,2,0,0.8,0.8,0.85
46,1,7.2746,9.6062,5,0,0.2,0.4,0.5
47,1,8.9939,8.9939,1,1,1.0,0.8,0.75
48,1,5.152,5.152,1,1,1.0,1.0,1.0
49,1,4.6804,4.6804,1,1,1.0,1.0,1.0
