query_idx,target_niche,exact_best_dist,spindle_best_dist,spindle_best_rank,recall@1,overlap@5,overlap@10,overlap@20
0,1,55.73,55.73,1,1,1.0,0.9,0.9
1,1,56.0349,56.0349,1,1,1.0,0.9,0.9
2,1,63.6923,63.6923,1,1,1.0,0.9,0.9
3,1,64.5353,64.5353,1,1,1.0,0.9,0.9
4,1,68.359,68.359,1,1,1.0,0.9,0.9
5,1,62.2312,62.2312,1,1,1.0,0.9,0.9
6,1,58.3098,58.3098,1,1,1.0,0.9,0.9
7,1,54.4374,54.4374,1,1,1.0,0.9,0.9
8,1,62.6844,62.6844,1,1,1.0,0.9,0.9
9,1,60.9935,60.9935,1,1,1.0,0.9,0.9
10,1,54.6981,54.6981,1,1,1.0,0.9,0.9
11,1,55.2889,55.2889,1,1,1.0,0.9,0.9
12,1,57.3964,57.3964,1,1,1.0,0.9,0.9
13,1,61.5697,61.5697,1,1,1.0,0.9,0.9
14,1,64.0535,64.0535,1,1,1.0,0.9,0.9
15,1,55.9145,55.9145,1,1,1.0,0.9,0.9
16,1,51.1021,51.1021,1,1,1.0,0.9,0.9
17,1,53.9436,53.9436,1,1,1.0,0.9,0.9
18,1,48.7969,48.7969,1,1,1.0,0.9,0.9
19,1,64.4782,64.4782,1,1,1.0,0.9,0.9
20,1,60.7883,60.7883,1,1,1.0,0.9,0.9
21,1,54.0887,54.0887,1,1,1.0,0.9,0.9
22,1,74.4722,74.4722,1,1,1.0,0.9,0.9
23,1,54.7465,54.7465,1,1,1.0,0.9,0.9
24,1,62.5274,62.5274,1,1,1.0,0.9,0.9
25,1,59.6769,59.6769,1,1,1.0,0.9,0.9
26,1,63.548,63.548,1,1,1.0,0.9,0.9
27,1,58.098,58.098,1,1,1.0,0.9,0.9
28,1,57.525,57.525,1,1,1.0,0.9,0.9
29,1,54.598,54.598,1,1,1.0,0.9,0.9
30,1,58.0052,58.0052,1,1,1.0,0.9,0.9
31,1,56.7027,56.7027,1,1,1.0,0.9,0.9
32,1,54.9248,54.9248,1,1,1.0,0.9,0.9
33,1,54.0684,54.0684,1,1,1.0,0.9,0.9
34,1,56.1923,56.1923,1,1,1.0,0.9,0.9
35,1,53.0122,53.0122,1,1,1.0,0.9,0.9
36,1,58.8508,58.8508,1,1,1.0,0.9,0.9
37,1,61.52,61.52,1,1,1.0,0.9,0.9
38,1,59.672,59.672,1,1,1.0,0.9,0.9
39,1,60.6697,60.6697,1,1,1.0,0.9,0.9
40,1,53.9193,53.9193,1,1,1.0,0.9,0.9
41,1,57.3169,57.3169,1,1,1.0,0.9,0.9
42,1,58.5676,58.5676,1,1,1.0,0.9,0.9
43,1,51.3685,51.3685,1,1,1.0,0.9,0.9
44,1,56.6575,56.6575,1,1,1.0,0.9,0.9
45,1,55.5239,55.5239,1,1,1.0,0.9,0.9
46,1,70.7739,70.7739,1,1,1.0,0.9,0.9
47,1,57.1053,57.1053,1,1,1.0,0.9,0.9
48,1,57.9397,57.9397,1,1,1.0,0.9,0.9
49,1,53.6162,53.6162,1,1,1.0,0.9,0.9
