rank,tile_id,x0,y0,x1,y1
1,312,8351.20692050457,2234.457500576973,8519.328542470932,2289.383692741394
2,624,5493.139347076416,1904.9003475904465,5661.260969042778,1959.8265397548676
3,1726,2466.9501516819,1630.269386768341,2635.071773648262,1685.1955789327621
4,1440,7342.477188706398,1520.417002439499,7510.59881067276,1575.34319460392
5,1393,7846.842054605484,1740.1217710971832,8014.963676571846,1795.0479632616043
6,1743,1626.34204185009,1685.1955789327621,1794.463663816452,1740.1217710971832
7,1154,1962.585285782814,2124.605116248131,2130.706907749176,2179.531308412552
8,453,6501.869078874588,2454.1622692346573,6669.99070084095,2509.0884613990784
9,218,9191.81503033638,2564.0146535634995,9359.936652302742,2618.9408457279205
10,1732,1794.463663816452,1795.0479632616043,1962.585285782814,1849.9741554260254
11,213,9023.693408370018,2673.8670378923416,9191.81503033638,2728.7932300567627
12,301,9191.81503033638,2124.605116248131,9359.936652302742,2179.531308412552
13,155,6333.747456908226,2838.645614385605,6501.869078874588,2893.571806550026
14,737,4988.77448117733,2618.9408457279205,5156.896103143692,2673.8670378923416
15,1138,2635.071773648262,2124.605116248131,2803.193395614624,2179.531308412552
16,358,8014.963676571846,2618.9408457279205,8183.085298538208,2673.8670378923416
17,903,5325.017725110054,2014.7527319192886,5493.139347076416,2069.6789240837097
18,1328,8687.450164437294,1410.5646181106567,8855.571786403656,1465.4908102750778
19,854,3307.55826151371,2399.236077070236,3475.679883480072,2454.1622692346573
20,1568,5156.896103143692,1795.0479632616043,5325.017725110054,1849.9741554260254
21,1148,1962.585285782814,2179.531308412552,2130.706907749176,2234.457500576973
22,1592,4484.409615278244,1685.1955789327621,4652.531237244606,1740.1217710971832
23,1727,2298.828529715538,1685.1955789327621,2466.9501516819,1740.1217710971832
24,956,3307.55826151371,2179.531308412552,3475.679883480072,2234.457500576973
25,1021,1794.463663816452,2618.9408457279205,1962.585285782814,2673.8670378923416
26,1149,1794.463663816452,2179.531308412552,1962.585285782814,2234.457500576973
27,590,5829.38259100914,2069.6789240837097,5997.504212975502,2124.605116248131
28,1173,2466.9501516819,1849.9741554260254,2635.071773648262,1904.9003475904465
29,1736,1458.220419883728,1795.0479632616043,1626.34204185009,1849.9741554260254
30,626,5493.139347076416,1849.9741554260254,5661.260969042778,1904.9003475904465
31,1357,8351.20692050457,1300.7122337818146,8519.328542470932,1355.6384259462357
32,996,3307.55826151371,1849.9741554260254,3475.679883480072,1904.9003475904465
33,496,7678.720432639122,2124.605116248131,7846.842054605484,2179.531308412552
34,1307,8855.571786403656,1575.34319460392,9023.693408370018,1630.269386768341
35,620,5829.38259100914,1904.9003475904465,5997.504212975502,1959.8265397548676
36,1684,2803.193395614624,1575.34319460392,2971.315017580986,1630.269386768341
37,977,3475.679883480072,1959.8265397548676,3643.801505446434,2014.7527319192886
38,705,1121.977175951004,2838.645614385605,1458.220419883728,2948.497998714447
39,1571,4988.77448117733,1795.0479632616043,5156.896103143692,1849.9741554260254
40,1591,4652.531237244606,1685.1955789327621,4820.652859210968,1740.1217710971832
41,1718,2466.9501516819,1740.1217710971832,2635.071773648262,1795.0479632616043
42,1613,4988.77448117733,1410.5646181106567,5156.896103143692,1465.4908102750778
43,1573,4988.77448117733,1740.1217710971832,5156.896103143692,1795.0479632616043
44,1603,4988.77448117733,1575.34319460392,5156.896103143692,1630.269386768341
45,1024,1626.34204185009,2618.9408457279205,1794.463663816452,2673.8670378923416
46,1576,5156.896103143692,1685.1955789327621,5325.017725110054,1740.1217710971832
47,295,9191.81503033638,2179.531308412552,9359.936652302742,2234.457500576973
48,879,5156.896103143692,2069.6789240837097,5325.017725110054,2124.605116248131
49,72,9023.693408370018,2893.571806550026,9191.81503033638,2948.497998714447
50,1290,8351.20692050457,1795.0479632616043,8519.328542470932,1849.9741554260254
51,466,6333.747456908226,2289.383692741394,6501.869078874588,2344.309884905815
52,911,5325.017725110054,1904.9003475904465,5493.139347076416,1959.8265397548676
53,1548,5493.139347076416,1300.7122337818146,5829.38259100914,1410.5646181106567
54,904,5156.896103143692,2014.7527319192886,5325.017725110054,2069.6789240837097
55,346,8351.20692050457,1959.8265397548676,8519.328542470932,2014.7527319192886
56,831,3139.436639547348,2509.0884613990784,3307.55826151371,2564.0146535634995
57,852,3307.55826151371,2454.1622692346573,3475.679883480072,2509.0884613990784
58,439,5829.38259100914,2618.9408457279205,5997.504212975502,2673.8670378923416
59,947,3811.923127412796,2124.605116248131,3980.044749379158,2179.531308412552
60,1593,4652.531237244606,1630.269386768341,4820.652859210968,1685.1955789327621
61,1172,2635.071773648262,1849.9741554260254,2803.193395614624,1904.9003475904465
62,743,4988.77448117733,2564.0146535634995,5156.896103143692,2618.9408457279205
63,599,6333.747456908226,2014.7527319192886,6501.869078874588,2069.6789240837097
64,137,6838.112322807312,2893.571806550026,7006.233944773674,2948.497998714447
65,1013,2466.9501516819,2509.0884613990784,2635.071773648262,2564.0146535634995
66,434,6333.747456908226,2509.0884613990784,6501.869078874588,2564.0146535634995
