rank,tile_id,x0,y0,x1,y1
1,7,8183.085298538208,3168.2027673721313,9528.058274269104,3607.6123046875
2,10,10200.544762134552,3113.2765752077103,10368.666384100914,3168.2027673721313
3,12,10200.544762134552,3058.350383043289,10368.666384100914,3113.2765752077103
4,15,10032.42314016819,3113.2765752077103,10200.544762134552,3168.2027673721313
5,24,9528.058274269104,2948.497998714447,9864.301518201828,3058.350383043289
6,33,9528.058274269104,2838.645614385605,9696.179896235466,2893.571806550026
7,34,9864.301518201828,2728.7932300567627,10200.544762134552,2838.645614385605
8,36,9528.058274269104,2783.719422221184,9696.179896235466,2838.645614385605
9,38,9528.058274269104,2728.7932300567627,9696.179896235466,2783.719422221184
10,40,9191.81503033638,3113.2765752077103,9359.936652302742,3168.2027673721313
11,43,9023.693408370018,3113.2765752077103,9191.81503033638,3168.2027673721313
12,45,9023.693408370018,3058.350383043289,9191.81503033638,3113.2765752077103
13,48,9191.81503033638,3003.424190878868,9359.936652302742,3058.350383043289
14,49,9359.936652302742,2948.497998714447,9528.058274269104,3003.424190878868
15,50,9191.81503033638,2948.497998714447,9359.936652302742,3003.424190878868
16,51,9023.693408370018,3003.424190878868,9191.81503033638,3058.350383043289
17,52,8855.571786403656,3003.424190878868,9023.693408370018,3058.350383043289
18,53,9023.693408370018,2948.497998714447,9191.81503033638,3003.424190878868
19,58,8519.328542470932,3058.350383043289,8687.450164437294,3113.2765752077103
20,59,8183.085298538208,3058.350383043289,8519.328542470932,3168.2027673721313
21,60,8687.450164437294,3003.424190878868,8855.571786403656,3058.350383043289
22,62,8687.450164437294,2948.497998714447,8855.571786403656,3003.424190878868
23,64,8351.20692050457,3003.424190878868,8519.328542470932,3058.350383043289
24,67,8183.085298538208,2948.497998714447,8351.20692050457,3003.424190878868
25,68,9359.936652302742,2893.571806550026,9528.058274269104,2948.497998714447
26,69,9191.81503033638,2893.571806550026,9359.936652302742,2948.497998714447
27,71,9191.81503033638,2838.645614385605,9359.936652302742,2893.571806550026
28,75,8855.571786403656,2838.645614385605,9023.693408370018,2893.571806550026
29,85,8519.328542470932,2893.571806550026,8687.450164437294,2948.497998714447
30,86,8687.450164437294,2838.645614385605,8855.571786403656,2893.571806550026
31,87,8519.328542470932,2838.645614385605,8687.450164437294,2893.571806550026
32,88,8351.20692050457,2893.571806550026,8519.328542470932,2948.497998714447
33,89,8183.085298538208,2893.571806550026,8351.20692050457,2948.497998714447
34,90,8351.20692050457,2838.645614385605,8519.328542470932,2893.571806550026
35,91,8183.085298538208,2838.645614385605,8351.20692050457,2893.571806550026
36,92,8687.450164437294,2783.719422221184,8855.571786403656,2838.645614385605
37,93,8519.328542470932,2783.719422221184,8687.450164437294,2838.645614385605
38,94,8687.450164437294,2728.7932300567627,8855.571786403656,2783.719422221184
39,95,8519.328542470932,2728.7932300567627,8687.450164437294,2783.719422221184
40,96,8351.20692050457,2783.719422221184,8519.328542470932,2838.645614385605
41,97,8183.085298538208,2783.719422221184,8351.20692050457,2838.645614385605
42,99,8183.085298538208,2728.7932300567627,8351.20692050457,2783.719422221184
43,102,7846.842054605484,3058.350383043289,8183.085298538208,3168.2027673721313
44,107,7678.720432639122,3003.424190878868,7846.842054605484,3058.350383043289
45,108,7510.59881067276,3003.424190878868,7678.720432639122,3058.350383043289
46,109,7678.720432639122,2948.497998714447,7846.842054605484,3003.424190878868
47,110,7510.59881067276,2948.497998714447,7678.720432639122,3003.424190878868
48,111,7342.477188706398,3003.424190878868,7510.59881067276,3058.350383043289
49,113,7342.477188706398,2948.497998714447,7510.59881067276,3003.424190878868
50,114,7174.355566740036,2948.497998714447,7342.477188706398,3003.424190878868
51,115,6838.112322807312,2948.497998714447,7174.355566740036,3058.350383043289
52,120,7678.720432639122,2893.571806550026,7846.842054605484,2948.497998714447
53,122,7678.720432639122,2838.645614385605,7846.842054605484,2893.571806550026
54,127,7846.842054605484,2728.7932300567627,8014.963676571846,2783.719422221184
55,128,7678.720432639122,2783.719422221184,7846.842054605484,2838.645614385605
56,129,7510.59881067276,2783.719422221184,7678.720432639122,2838.645614385605
57,130,7678.720432639122,2728.7932300567627,7846.842054605484,2783.719422221184
58,131,7510.59881067276,2728.7932300567627,7678.720432639122,2783.719422221184
59,132,7342.477188706398,2893.571806550026,7510.59881067276,2948.497998714447
60,133,7174.355566740036,2893.571806550026,7342.477188706398,2948.497998714447
61,134,7342.477188706398,2838.645614385605,7510.59881067276,2893.571806550026
62,135,7174.355566740036,2838.645614385605,7342.477188706398,2893.571806550026
63,136,7006.233944773674,2893.571806550026,7174.355566740036,2948.497998714447
64,139,6838.112322807312,2838.645614385605,7006.233944773674,2893.571806550026
65,142,7342.477188706398,2728.7932300567627,7510.59881067276,2783.719422221184
66,144,7006.233944773674,2783.719422221184,7174.355566740036,2838.645614385605
67,145,6838.112322807312,2783.719422221184,7006.233944773674,2838.645614385605
68,146,7006.233944773674,2728.7932300567627,7174.355566740036,2783.719422221184
69,147,6838.112322807312,2728.7932300567627,7006.233944773674,2783.719422221184
70,148,6165.625834941864,2948.497998714447,6838.112322807312,3168.2027673721313
71,149,6669.99070084095,2893.571806550026,6838.112322807312,2948.497998714447
72,150,6501.869078874588,2893.571806550026,6669.99070084095,2948.497998714447
73,152,6501.869078874588,2838.645614385605,6669.99070084095,2893.571806550026
74,153,6333.747456908226,2893.571806550026,6501.869078874588,2948.497998714447
75,154,6165.625834941864,2893.571806550026,6333.747456908226,2948.497998714447
76,157,6669.99070084095,2783.719422221184,6838.112322807312,2838.645614385605
77,158,6501.869078874588,2783.719422221184,6669.99070084095,2838.645614385605
78,163,6333.747456908226,2728.7932300567627,6501.869078874588,2783.719422221184
79,164,6165.625834941864,2728.7932300567627,6333.747456908226,2783.719422221184
80,165,5997.504212975502,2893.571806550026,6165.625834941864,2948.497998714447
81,166,5829.38259100914,2893.571806550026,5997.504212975502,2948.497998714447
