rank,tile_id,x0,y0,x1,y1
1,2049,1366.851309299469,3390.0456695482135,1423.6261386275291,3502.931878026575
2,2050,1537.1757972836494,3277.159461069852,1593.9506266117096,3390.0456695482135
3,5,3240.420677125454,6776.6319238990545,3297.195506453514,6889.518132377416
4,2056,1423.6261386275291,3164.2732525914907,1480.4009679555893,3277.159461069852
5,2057,1366.851309299469,3164.2732525914907,1423.6261386275291,3277.159461069852
6,2059,1707.50028526783,3051.3870441131294,1764.27511459589,3164.2732525914907
7,13,3240.420677125454,6437.97329846397,3297.195506453514,6550.859506942332
8,2061,1707.50028526783,2938.500835634768,1764.27511459589,3051.3870441131294
9,15,3240.420677125454,6325.087089985609,3297.195506453514,6437.97329846397
10,2062,1650.7254559397697,3051.3870441131294,1707.50028526783,3164.2732525914907
11,2063,1593.9506266117096,3051.3870441131294,1650.7254559397697,3164.2732525914907
12,21,3126.8710184693336,6776.6319238990545,3183.645847797394,6889.518132377416
13,2073,1593.9506266117096,2712.7284186780453,1650.7254559397697,2825.6146271564066
14,2078,1423.6261386275291,3051.3870441131294,1480.4009679555893,3164.2732525914907
15,2079,1366.851309299469,3051.3870441131294,1423.6261386275291,3164.2732525914907
16,32,2842.996871829033,6776.6319238990545,2899.771701157093,6889.518132377416
17,2080,1423.6261386275291,2938.500835634768,1480.4009679555893,3051.3870441131294
18,2083,1480.4009679555893,2825.6146271564066,1537.1757972836494,2938.500835634768
19,37,3126.8710184693336,6663.745715420693,3183.645847797394,6776.6319238990545
20,38,3070.0961891412735,6663.745715420693,3126.8710184693336,6776.6319238990545
21,39,3126.8710184693336,6550.859506942332,3183.645847797394,6663.745715420693
22,41,3013.3213598132133,6663.745715420693,3070.0961891412735,6776.6319238990545
23,42,2956.546530485153,6663.745715420693,3013.3213598132133,6776.6319238990545
24,2089,1366.851309299469,2712.7284186780453,1423.6261386275291,2825.6146271564066
25,44,2956.546530485153,6550.859506942332,3013.3213598132133,6663.745715420693
26,2090,1310.0764799714088,3502.931878026575,1366.851309299469,3615.818086504936
27,2093,1253.3016506433487,3390.0456695482135,1310.0764799714088,3502.931878026575
28,47,3126.8710184693336,6325.087089985609,3183.645847797394,6437.97329846397
29,2098,1310.0764799714088,3277.159461069852,1366.851309299469,3390.0456695482135
30,2100,1310.0764799714088,3164.2732525914907,1366.851309299469,3277.159461069852
31,53,2899.771701157093,6663.745715420693,2956.546530485153,6776.6319238990545
32,54,2842.996871829033,6663.745715420693,2899.771701157093,6776.6319238990545
33,2103,1139.7519919872284,3277.159461069852,1196.5268213152885,3390.0456695482135
34,56,2842.996871829033,6550.859506942332,2899.771701157093,6663.745715420693
35,57,2786.2220425009727,6663.745715420693,2842.996871829033,6776.6319238990545
36,58,2729.4472131729126,6663.745715420693,2786.2220425009727,6776.6319238990545
37,2105,1139.7519919872284,3164.2732525914907,1196.5268213152885,3277.159461069852
38,61,2899.771701157093,6437.97329846397,2956.546530485153,6550.859506942332
39,66,2729.4472131729126,6437.97329846397,2786.2220425009727,6550.859506942332
40,2114,1082.9771626591682,3277.159461069852,1139.7519919872284,3390.0456695482135
41,2115,1026.202333331108,3277.159461069852,1082.9771626591682,3390.0456695482135
42,2116,1082.9771626591682,3164.2732525914907,1139.7519919872284,3277.159461069852
43,2120,969.4275040030479,3164.2732525914907,1026.202333331108,3277.159461069852
44,74,3297.195506453514,5873.542256072164,3410.7451651096344,6099.314673028886
45,2124,1310.0764799714088,2938.500835634768,1366.851309299469,3051.3870441131294
46,2125,1253.3016506433487,2938.500835634768,1310.0764799714088,3051.3870441131294
47,2126,1196.5268213152885,3051.3870441131294,1253.3016506433487,3164.2732525914907
48,80,3240.420677125454,5873.542256072164,3297.195506453514,5986.428464550525
49,81,3183.645847797394,5873.542256072164,3240.420677125454,5986.428464550525
50,2128,1196.5268213152885,2938.500835634768,1253.3016506433487,3051.3870441131294
51,2130,1139.7519919872284,2994.9439398739487,1168.1394066512585,3051.3870441131294
52,2135,1310.0764799714088,2712.7284186780453,1366.851309299469,2825.6146271564066
53,2136,1253.3016506433487,2712.7284186780453,1310.0764799714088,2825.6146271564066
54,2137,1196.5268213152885,2825.6146271564066,1253.3016506433487,2938.500835634768
55,2138,1139.7519919872284,2825.6146271564066,1196.5268213152885,2938.500835634768
56,2139,1196.5268213152885,2712.7284186780453,1253.3016506433487,2825.6146271564066
57,2140,1139.7519919872284,2712.7284186780453,1196.5268213152885,2825.6146271564066
58,96,3070.0961891412735,6099.314673028886,3126.8710184693336,6212.200881507248
59,101,3126.8710184693336,5986.428464550525,3183.645847797394,6099.314673028886
60,2156,1026.202333331108,2825.6146271564066,1082.9771626591682,2938.500835634768
61,109,2956.546530485153,5986.428464550525,3013.3213598132133,6099.314673028886
62,111,2956.546530485153,5873.542256072164,3013.3213598132133,5986.428464550525
63,2160,912.6526746749878,2825.6146271564066,969.4275040030479,2938.500835634768
64,2161,969.4275040030479,2712.7284186780453,1026.202333331108,2825.6146271564066
65,2166,1707.50028526783,2486.9560017213225,1764.27511459589,2599.842210199684
66,2167,1650.7254559397697,2599.842210199684,1707.50028526783,2712.7284186780453
67,120,2899.771701157093,5986.428464550525,2956.546530485153,6099.314673028886
68,122,2899.771701157093,5873.542256072164,2956.546530485153,5986.428464550525
69,124,2786.2220425009727,5986.428464550525,2842.996871829033,6099.314673028886
70,125,2729.4472131729126,5986.428464550525,2786.2220425009727,6099.314673028886
71,126,2786.2220425009727,5873.542256072164,2842.996871829033,5986.428464550525
72,127,2729.4472131729126,5873.542256072164,2786.2220425009727,5986.428464550525
73,2174,1707.50028526783,2261.1835847646,1764.27511459589,2374.069793242961
74,2178,1593.9506266117096,2261.1835847646,1650.7254559397697,2374.069793242961
75,134,3070.0961891412735,5647.769839115441,3126.8710184693336,5760.656047593802
76,2183,1423.6261386275291,2599.842210199684,1480.4009679555893,2712.7284186780453
