Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,11,19,<=6,4,40,0.1973316745853424,22.5994,108.9489,4.82,50,0,0.0,1,0.0205,1,0.0099,xenium_human_brain_cancer_seed3
Non-Contiguous Random,0,11,19,<=6,4,131,0.14324838113307953,21.3606,108.2184,5.07,50,1,0.0074,1,0.0061,1,0.0059,xenium_human_brain_cancer_seed3
Contiguous Random,1,9,7,<=6,6,1,0.0,22.7894,110.9602,4.87,50,1,0.1186,1,0.095,1,0.0962,xenium_human_brain_cancer_seed3
Non-Contiguous Random,1,9,7,<=6,6,1,0.0,21.0788,109.4332,5.19,50,1,0.2941,1,0.1716,1,0.1655,xenium_human_brain_cancer_seed3
Contiguous Random,2,5,4,<=6,5,3,0.031335352330084776,21.6374,103.7092,4.79,50,1,0.6,1,0.6111,1,0.5714,xenium_human_brain_cancer_seed3
Non-Contiguous Random,2,5,4,<=6,5,1,0.0,19.0549,102.5157,5.38,50,1,0.0124,1,0.0124,1,0.0124,xenium_human_brain_cancer_seed3
Contiguous Random,3,16,13,<=6,6,6,0.09013676630018941,22.3325,121.115,5.42,50,1,0.186,1,0.1198,1,0.0873,xenium_human_brain_cancer_seed3
Non-Contiguous Random,3,16,13,<=6,6,22,0.0817687719456871,22.1185,117.2261,5.3,50,1,0.0847,1,0.0575,1,0.0457,xenium_human_brain_cancer_seed3
Contiguous Random,4,4,15,<=6,4,31,0.1552545028924942,18.3601,107.5178,5.86,50,0,0.0,1,0.0245,1,0.0197,xenium_human_brain_cancer_seed3
Non-Contiguous Random,4,4,15,<=6,4,1,-4.626786708830655e-06,19.7634,104.9913,5.31,50,1,0.6364,1,0.3542,1,0.1859,xenium_human_brain_cancer_seed3
Contiguous Random,5,14,17,<=6,5,5,0.06887827174547098,25.162,116.1078,4.61,50,1,0.0417,1,0.0382,1,0.0134,xenium_human_brain_cancer_seed3
Non-Contiguous Random,5,14,17,<=6,5,5,0.07094155012520997,21.0714,111.6879,5.3,50,1,0.08,1,0.0906,1,0.0431,xenium_human_brain_cancer_seed3
Contiguous Random,6,0,21,<=6,6,39,0.07127494861286704,23.1832,130.973,5.65,50,1,0.0117,1,0.007,1,0.0055,xenium_human_brain_cancer_seed3
Non-Contiguous Random,6,0,21,<=6,6,22,0.12376572597055252,25.2725,129.5083,5.12,50,1,0.0408,1,0.0585,1,0.0144,xenium_human_brain_cancer_seed3
Contiguous Random,7,14,6,<=6,6,1,0.0,25.2385,107.5193,4.26,50,1,0.1286,1,0.1222,1,0.1124,xenium_human_brain_cancer_seed3
Non-Contiguous Random,7,14,6,<=6,6,1,0.0,23.163,107.4101,4.64,50,1,0.1234,1,0.115,1,0.1092,xenium_human_brain_cancer_seed3
Contiguous Random,8,1,23,<=6,5,13,0.11473062905621034,25.4635,116.2717,4.57,50,0,0.0,1,0.061,1,0.0209,xenium_human_brain_cancer_seed3
Non-Contiguous Random,8,1,23,<=6,5,937,0.5660742520127922,21.6638,117.9246,5.44,50,0,0.0,0,0.0,0,0.0,xenium_human_brain_cancer_seed3
Contiguous Random,9,13,7,<=6,5,5,0.02623020947158461,19.341,103.5959,5.36,50,1,0.2756,1,0.2486,1,0.2424,xenium_human_brain_cancer_seed3
