Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,7,<=6,4,1,1.6916942596201245e-06,3.8418,20.5999,5.36,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,0,2,7,<=6,4,6,0.10277402557373044,3.4794,20.0917,5.77,50,1,0.1538,1,0.1714,1,0.103,xenium_human_breast_cancer_seed4
Contiguous Random,1,0,8,<=6,4,2,0.06252500812530515,3.8885,20.1387,5.18,50,1,0.2,1,0.0952,1,0.09,xenium_human_breast_cancer_seed4
Non-Contiguous Random,1,0,8,<=6,4,18,0.14550057661533355,4.5668,19.9627,4.37,50,1,0.0263,1,0.0924,1,0.0628,xenium_human_breast_cancer_seed4
Contiguous Random,2,1,12,<=6,4,10,0.1344134153556824,3.9032,19.8623,5.09,50,1,0.0833,1,0.1429,1,0.0519,xenium_human_breast_cancer_seed4
Non-Contiguous Random,2,1,12,<=6,4,63,0.4518576402616501,4.2009,19.7745,4.71,50,0,0.0,0,0.0,1,0.0222,xenium_human_breast_cancer_seed4
Contiguous Random,3,2,2,<=6,4,1,1.73169255256872e-06,4.26,18.938,4.45,50,1,1.0,1,0.8182,1,0.6286,xenium_human_breast_cancer_seed4
Non-Contiguous Random,3,2,2,<=6,4,13,0.11861902787208556,4.4502,19.7197,4.43,50,1,0.0588,1,0.0379,1,0.0408,xenium_human_breast_cancer_seed4
Contiguous Random,4,2,3,<=6,5,6,0.2655177750136355,6.1566,21.1138,3.43,50,0,0.0,1,0.0556,1,0.1139,xenium_human_breast_cancer_seed4
Non-Contiguous Random,4,2,3,<=6,5,1,-3.8827388993967205e-06,5.5819,21.3643,3.83,50,1,0.2,1,0.1429,1,0.1957,xenium_human_breast_cancer_seed4
Contiguous Random,5,2,12,<=6,6,61,0.22856034909244943,4.6664,24.5718,5.27,50,0,0.0,1,0.0448,1,0.0494,xenium_human_breast_cancer_seed4
Non-Contiguous Random,5,2,12,<=6,6,4,0.061736790838591515,5.8595,23.8346,4.07,50,1,0.24,1,0.1118,1,0.0517,xenium_human_breast_cancer_seed4
