Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,9,<=6,4,1,4.998512268067357e-06,1.7119,7.9004,4.61,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,0,0,9,<=6,4,3,0.09625410725116729,1.6522,7.5224,4.55,50,1,0.6,1,0.75,1,0.7708,xenium_human_kidney_nondiseased_seed4
Contiguous Random,1,0,2,<=6,4,1,0.0,1.5813,7.2761,4.6,50,1,0.9677,1,0.9756,1,0.94,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,1,0,2,<=6,4,6,0.05130432556152344,1.7872,7.2502,4.06,50,1,0.68,1,0.7292,1,0.7143,xenium_human_kidney_nondiseased_seed4
Contiguous Random,2,0,7,<=6,4,1,-4.786548614521546e-06,1.3119,7.8279,5.97,50,1,0.5,1,0.5385,1,0.5814,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,2,0,7,<=6,4,1,8.853006362927185e-07,2.6992,7.5627,2.8,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,3,0,3,<=6,4,1,-3.988900780677387e-06,1.8324,7.3451,4.01,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,3,0,3,<=6,4,1,4.521980285644711e-06,1.7683,7.3472,4.15,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,4,0,8,<=6,6,1,-6.280473505149153e-07,1.9225,9.0438,4.7,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,4,0,8,<=6,6,1,-2.7421351348477785e-06,2.6534,8.8587,3.34,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,5,0,11,<=6,5,14,0.2800042073306781,1.713,8.5324,4.98,50,0,0.0,1,0.0714,1,0.102,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,5,0,11,<=6,5,2,0.019266864637632997,1.7983,8.5279,4.74,50,1,0.0909,1,0.1026,1,0.083,xenium_human_kidney_nondiseased_seed4
Contiguous Random,6,0,7,<=6,6,1,-3.022187224172024e-06,1.8698,8.4282,4.51,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,6,0,7,<=6,6,6,0.06107798586166885,1.7791,9.0281,5.07,50,1,0.0455,1,0.0467,1,0.1,xenium_human_kidney_nondiseased_seed4
Contiguous Random,7,0,0,<=6,5,1,0.0,1.689,7.3686,4.36,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,7,0,0,<=6,5,1,-1.0607862562794779e-06,1.689,7.397,4.38,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,8,0,13,<=6,4,2,0.03392957806587221,1.4856,7.8377,5.28,50,1,0.1667,1,0.1429,1,0.0674,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,8,0,13,<=6,4,109,0.30079434338569644,1.4326,7.8821,5.5,50,0,0.0,1,0.0214,1,0.0529,xenium_human_kidney_nondiseased_seed4
Contiguous Random,9,0,17,<=6,6,4,0.08951239679614742,2.2386,9.0154,4.03,50,1,0.25,1,0.0769,1,0.1405,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,9,0,17,<=6,6,2,0.11022140348094633,2.3059,9.0876,3.94,50,1,0.8,1,0.2857,1,0.1622,xenium_human_kidney_nondiseased_seed4
Contiguous Random,10,0,6,<=6,4,1,-3.870820999118951e-06,1.6117,7.5235,4.67,50,1,1.0,1,0.8966,1,0.7742,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,10,0,6,<=6,4,2,0.13006705102086066,1.8027,7.5038,4.16,50,1,0.3333,1,0.2222,1,0.262,xenium_human_kidney_nondiseased_seed4
Contiguous Random,11,0,14,<=6,6,1,-4.015137670954072e-06,2.8785,9.0399,3.14,50,1,0.4524,1,0.2047,1,0.1176,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,11,0,14,<=6,6,1,3.755038438080227e-06,3.0998,8.961,2.89,50,1,0.8,1,0.5882,1,0.1972,xenium_human_kidney_nondiseased_seed4
Contiguous Random,12,0,18,<=6,6,3,0.02995125064755766,1.7633,9.0749,5.15,50,1,0.2105,1,0.1605,1,0.1157,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,12,0,18,<=6,6,1,-3.964248552201788e-06,1.9179,9.0218,4.7,50,1,0.75,1,0.9231,1,0.925,xenium_human_kidney_nondiseased_seed4
Contiguous Random,13,0,3,<=6,5,1,-1.4192298778553658e-06,1.6916,7.6793,4.54,50,1,1.0,1,0.8889,1,0.9091,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,13,0,3,<=6,5,1,-2.4527456068401676e-06,1.7033,7.6986,4.52,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,14,0,7,<=6,6,1,-2.6598174440103928e-06,2.7886,8.4918,3.05,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,14,0,7,<=6,6,1,-1.5278949798136487e-06,2.592,8.7787,3.39,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,15,0,10,<=6,5,1,1.436294108980718e-06,1.607,8.2667,5.14,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,15,0,10,<=6,5,1,3.7845926852964062e-06,3.0774,8.2122,2.67,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,16,0,6,<=6,5,1,2.1700509122146716e-06,2.2276,8.1231,3.65,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,16,0,6,<=6,5,1,-1.3528425312353543e-06,1.9261,8.0347,4.17,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,17,0,18,<=6,5,7,0.14525762022334104,1.6676,8.2211,4.93,50,0,0.0,1,0.3548,1,0.201,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,17,0,18,<=6,5,2,0.003724635890779815,1.7138,8.3706,4.88,50,1,0.1053,1,0.0704,1,0.127,xenium_human_kidney_nondiseased_seed4
Contiguous Random,18,0,11,<=6,4,4,0.07210790305137632,1.9347,7.8494,4.06,50,1,0.3333,1,0.1765,1,0.1282,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,18,0,11,<=6,4,4,0.03698767042160034,2.2428,7.9162,3.53,50,1,0.1765,1,0.1,1,0.0852,xenium_human_kidney_nondiseased_seed4
Contiguous Random,19,0,6,<=6,5,1,4.302003926426323e-07,2.0349,8.0595,3.96,50,1,0.8571,1,0.9167,1,0.9767,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,19,0,6,<=6,5,1,-5.227398924279036e-07,2.7955,8.0584,2.88,50,1,1.0,1,1.0,1,0.9574,xenium_human_kidney_nondiseased_seed4
Contiguous Random,20,0,4,<=6,4,1,-8.40615034101988e-07,2.431,7.4715,3.07,50,1,1.0,1,0.8462,1,0.4545,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,20,0,4,<=6,4,1,3.1837081909194542e-06,2.112,7.4215,3.51,50,1,0.75,1,0.9286,1,0.913,xenium_human_kidney_nondiseased_seed4
Contiguous Random,21,0,16,<=6,4,4,0.03230871058940887,1.5207,7.8435,5.16,50,1,0.3571,1,0.2889,1,0.1326,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,21,0,16,<=6,4,4,0.029748105096817024,2.7735,7.8087,2.82,50,1,0.1667,1,0.2564,1,0.1359,xenium_human_kidney_nondiseased_seed4
Contiguous Random,22,0,7,<=6,4,1,-4.44808959959575e-06,3.2393,7.6348,2.36,50,1,0.9091,1,0.6197,1,0.2262,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,22,0,7,<=6,4,1,-5.114173889098073e-07,1.8424,7.5507,4.1,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,23,0,13,<=6,4,4,0.0805599542999268,2.8996,7.8287,2.7,50,1,0.2667,1,0.1515,1,0.0855,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,23,0,13,<=6,4,33,0.24723975654602048,1.4416,7.8758,5.46,50,0,0.0,1,0.0179,1,0.0208,xenium_human_kidney_nondiseased_seed4
Contiguous Random,24,0,6,<=6,5,13,0.25415055508485784,2.2542,8.1029,3.59,50,0,0.0,1,0.1429,1,0.2475,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,24,0,6,<=6,5,1,2.226113617553871e-06,3.482,8.1011,2.33,50,1,0.7143,1,0.7609,1,0.2732,xenium_human_kidney_nondiseased_seed4
Contiguous Random,25,0,8,<=6,5,1,-3.4379107457516156e-06,2.7399,8.278,3.02,50,1,1.0,1,1.0,1,0.7143,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,25,0,8,<=6,5,1,4.692941393047434e-06,2.6023,8.2555,3.17,50,1,1.0,1,1.0,1,0.5676,xenium_human_kidney_nondiseased_seed4
Contiguous Random,26,0,3,<=6,6,1,-4.634645785372982e-06,1.8828,8.2164,4.36,50,1,1.0,1,0.7241,1,0.7353,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,26,0,3,<=6,6,1,3.3453621006707124e-06,1.8539,8.1301,4.39,50,1,1.0,1,0.7188,1,0.7059,xenium_human_kidney_nondiseased_seed4
Contiguous Random,27,0,12,<=6,5,1,-2.4751979104675748e-06,2.8826,8.3136,2.88,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,27,0,12,<=6,5,1,-4.716547000904736e-06,2.5949,8.3783,3.23,50,1,1.0,1,1.0,1,0.9259,xenium_human_kidney_nondiseased_seed4
Contiguous Random,28,0,5,<=6,6,1,1.3781326160255958e-06,2.562,8.4682,3.31,50,1,0.9167,1,0.5714,1,0.3264,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,28,0,5,<=6,6,1,3.735620716142918e-06,2.0149,8.7353,4.34,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,29,0,10,<=6,6,1,4.837324949880095e-06,4.8294,8.7624,1.81,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,29,0,10,<=6,6,1,-1.532962071504329e-06,3.2914,8.7755,2.67,50,1,0.625,1,0.386,1,0.1938,xenium_human_kidney_nondiseased_seed4
Contiguous Random,30,0,8,<=6,6,1,8.828377251468567e-08,3.652,8.8175,2.41,50,1,0.8333,1,0.7568,1,0.2336,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,30,0,8,<=6,6,1,-2.612211170260892e-06,3.1362,8.7144,2.78,50,1,0.7143,1,0.5909,1,0.2238,xenium_human_kidney_nondiseased_seed4
Contiguous Random,31,0,6,<=6,5,1,4.613388477792135e-06,1.8246,8.0755,4.43,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,31,0,6,<=6,5,1,1.4788831001893987e-06,1.9672,8.0751,4.1,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,32,0,1,<=6,5,1,2.0612123007301975e-06,1.7167,7.554,4.4,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,32,0,1,<=6,5,1,3.00430015326425e-06,1.5611,7.5446,4.83,50,1,1.0,1,1.0,1,0.9,xenium_human_kidney_nondiseased_seed4
Contiguous Random,33,0,12,<=6,6,1,2.2796074632402963e-06,1.6696,9.0672,5.43,50,1,0.2917,1,0.2222,1,0.107,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,33,0,12,<=6,6,1,-4.312019594554517e-06,1.6505,9.0122,5.46,50,1,0.0769,1,0.2095,1,0.1597,xenium_human_kidney_nondiseased_seed4
Contiguous Random,34,0,5,<=6,4,1,1.4644718170087057e-06,1.501,7.5051,5.0,50,1,1.0,1,1.0,1,0.9444,xenium_human_kidney_nondiseased_seed4
