Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,3,16,<=6,4,16,0.3068791023540497,4.0362,17.4012,4.31,50,0,0.0,0,0.0,1,0.0787,xenium_human_lung_cancer_seed1
Non-Contiguous Random,0,3,16,<=6,4,1,-2.961630821224359e-06,3.5371,16.9146,4.78,50,1,0.4118,1,0.4545,1,0.2055,xenium_human_lung_cancer_seed1
Contiguous Random,1,3,1,<=6,5,1,2.355968082179416e-06,3.9795,17.1035,4.3,50,1,0.7778,1,0.8421,1,0.7966,xenium_human_lung_cancer_seed1
Non-Contiguous Random,1,3,1,<=6,5,1,0.0,3.5111,16.6829,4.75,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,2,3,6,<=6,4,4,0.008913641319274902,2.9276,16.3597,5.59,50,1,0.3239,1,0.2991,1,0.2919,xenium_human_lung_cancer_seed1
Non-Contiguous Random,2,3,6,<=6,4,1,-4.696717262261951e-06,4.3846,16.8458,3.84,50,1,0.6667,1,0.8333,1,0.3519,xenium_human_lung_cancer_seed1
Contiguous Random,3,3,1,<=6,4,4,0.054210588586330405,3.4722,15.8524,4.57,50,1,0.4,1,0.3947,1,0.336,xenium_human_lung_cancer_seed1
Non-Contiguous Random,3,3,1,<=6,4,2,0.01546,3.3734,15.9766,4.74,50,1,0.5,1,0.6111,1,0.5224,xenium_human_lung_cancer_seed1
Contiguous Random,4,0,3,<=6,5,1,-2.6327962735304272e-06,3.8311,17.0483,4.45,50,1,0.8571,1,0.6389,1,0.6512,xenium_human_lung_cancer_seed1
Non-Contiguous Random,4,0,3,<=6,5,1,-4.468973418082778e-06,4.4776,17.137,3.83,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,5,2,16,<=6,4,2,0.026072696905136084,5.0508,17.1471,3.39,50,1,0.4286,1,0.4651,1,0.175,xenium_human_lung_cancer_seed1
Non-Contiguous Random,5,2,16,<=6,4,4,0.09088916218757626,3.4265,17.1006,4.99,50,1,0.25,1,0.1111,1,0.1168,xenium_human_lung_cancer_seed1
Contiguous Random,6,1,10,<=6,6,1,1.0567343582401634e-06,6.8455,20.1642,2.95,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,6,1,10,<=6,6,1,3.2803503303702186e-06,4.0227,20.1531,5.01,50,1,0.8333,1,0.8,1,0.6286,xenium_human_lung_cancer_seed1
Contiguous Random,7,1,18,<=6,5,37,0.150991178023687,3.9605,18.6718,4.71,50,0,0.0,1,0.0247,1,0.0391,xenium_human_lung_cancer_seed1
Non-Contiguous Random,7,1,18,<=6,5,3,0.007585400054909763,4.5829,18.6778,4.08,50,1,0.1176,1,0.0938,1,0.0601,xenium_human_lung_cancer_seed1
Contiguous Random,8,1,4,<=6,4,1,-4.268400669096839e-06,3.2723,16.3789,5.01,50,1,0.7333,1,0.6809,1,0.6622,xenium_human_lung_cancer_seed1
Non-Contiguous Random,8,1,4,<=6,4,1,-9.352958202368811e-07,3.2552,16.2375,4.99,50,1,1.0,1,0.95,1,0.9216,xenium_human_lung_cancer_seed1
Contiguous Random,9,3,8,<=6,5,2,0.010725681078830013,6.2639,18.6904,2.98,50,1,0.3143,1,0.2522,1,0.128,xenium_human_lung_cancer_seed1
Non-Contiguous Random,9,3,8,<=6,5,2,0.010725681078830013,6.0008,18.568,3.09,50,1,0.3143,1,0.2522,1,0.128,xenium_human_lung_cancer_seed1
Contiguous Random,10,0,4,<=6,6,1,5.470174379018644e-07,4.5878,18.4524,4.02,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,10,0,4,<=6,6,1,2.213874130907456e-06,4.0811,18.3326,4.49,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,11,1,3,<=6,5,1,3.5557126886187618e-06,4.0124,17.0765,4.26,50,1,0.5714,1,0.75,1,0.8718,xenium_human_lung_cancer_seed1
Non-Contiguous Random,11,1,3,<=6,5,1,-3.6175881905770035e-06,3.4725,16.8005,4.84,50,1,1.0,1,1.0,1,0.8909,xenium_human_lung_cancer_seed1
Contiguous Random,12,3,9,<=6,6,1,-1.5868931169116252e-06,3.9538,19.5248,4.94,50,1,0.7692,1,0.7188,1,0.6364,xenium_human_lung_cancer_seed1
Non-Contiguous Random,12,3,9,<=6,6,3,0.018423692842372552,5.7081,19.9941,3.5,50,1,0.2632,1,0.1446,1,0.0784,xenium_human_lung_cancer_seed1
Contiguous Random,13,3,4,<=6,4,1,-4.0515100955956784e-06,3.2452,16.1281,4.97,50,1,0.6111,1,0.4286,1,0.3492,xenium_human_lung_cancer_seed1
Non-Contiguous Random,13,3,4,<=6,4,1,-1.94686889648521e-06,3.4902,16.5556,4.74,50,1,1.0,1,0.4,1,0.1977,xenium_human_lung_cancer_seed1
Contiguous Random,14,2,12,<=6,6,4,0.08277835601703465,5.2401,20.068,3.83,50,1,0.4444,1,0.2991,1,0.0684,xenium_human_lung_cancer_seed1
Non-Contiguous Random,14,2,12,<=6,6,1,2.9675692250208385e-06,7.9842,20.4732,2.56,50,1,0.5,1,0.2899,1,0.0719,xenium_human_lung_cancer_seed1
Contiguous Random,15,1,6,<=6,4,1,3.84216785431768e-06,3.1773,16.8193,5.29,50,1,1.0,1,1.0,1,0.7812,xenium_human_lung_cancer_seed1
Non-Contiguous Random,15,1,6,<=6,4,1,0.0,3.3006,16.409,4.97,50,1,0.7576,1,0.7576,1,0.7576,xenium_human_lung_cancer_seed1
Contiguous Random,16,3,17,<=6,5,3,0.05687429905475544,4.9084,18.7596,3.82,50,1,0.125,1,0.0741,1,0.0457,xenium_human_lung_cancer_seed1
Non-Contiguous Random,16,3,17,<=6,5,3,0.04985329249948495,4.3516,18.3618,4.22,50,1,0.1429,1,0.1333,1,0.1223,xenium_human_lung_cancer_seed1
Contiguous Random,17,0,0,<=6,6,1,-2.436303348840596e-06,3.4957,16.8238,4.81,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,17,0,0,<=6,6,2,0.003468754642918355,3.5498,16.7593,4.72,50,1,0.5224,1,0.49,1,0.4762,xenium_human_lung_cancer_seed1
Contiguous Random,18,3,15,<=6,6,4,0.1557567810513547,4.967,19.2385,3.87,50,1,0.2222,1,0.2889,1,0.1324,xenium_human_lung_cancer_seed1
Non-Contiguous Random,18,3,15,<=6,6,26,0.3133190562332844,6.2833,19.7615,3.15,50,0,0.0,1,0.0189,1,0.095,xenium_human_lung_cancer_seed1
Contiguous Random,19,3,16,<=6,5,8,0.3066726797870619,4.9467,18.74,3.79,50,0,0.0,0,0.0,1,0.1101,xenium_human_lung_cancer_seed1
Non-Contiguous Random,19,3,16,<=6,5,4,0.08088743082881933,5.2893,18.8066,3.56,50,1,0.0714,1,0.1042,1,0.0858,xenium_human_lung_cancer_seed1
Contiguous Random,20,2,7,<=6,5,1,-2.6101058176464242e-06,4.3922,17.7251,4.04,50,1,1.0,1,0.9474,1,0.9535,xenium_human_lung_cancer_seed1
Non-Contiguous Random,20,2,7,<=6,5,11,0.20441578092746396,3.4896,17.9151,5.13,50,0,0.0,1,0.2439,1,0.2428,xenium_human_lung_cancer_seed1
Contiguous Random,21,2,4,<=6,6,1,-4.283751872835584e-06,5.7002,18.8006,3.3,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,21,2,4,<=6,6,1,0.0,4.1418,18.7185,4.52,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,22,1,3,<=6,4,2,0.01746726932108402,3.2033,16.1126,5.03,50,1,0.6,1,0.6047,1,0.5052,xenium_human_lung_cancer_seed1
Non-Contiguous Random,22,1,3,<=6,4,1,3.854238986959746e-07,3.0102,16.0114,5.32,50,1,0.5833,1,0.6957,1,0.5444,xenium_human_lung_cancer_seed1
Contiguous Random,23,1,13,<=6,6,2,0.04119181321814969,4.2388,19.7431,4.66,50,1,0.5,1,0.7,1,0.7414,xenium_human_lung_cancer_seed1
Non-Contiguous Random,23,1,13,<=6,6,2,0.1480843187738508,4.4204,20.066,4.54,50,1,0.5,1,0.8333,1,0.5821,xenium_human_lung_cancer_seed1
Contiguous Random,24,1,12,<=6,5,3,0.04268018546833696,3.8426,18.7255,4.87,50,1,0.375,1,0.2642,1,0.083,xenium_human_lung_cancer_seed1
Non-Contiguous Random,24,1,12,<=6,5,2,0.02268914210343187,3.6501,18.7779,5.14,50,1,0.2,1,0.1529,1,0.0528,xenium_human_lung_cancer_seed1
Contiguous Random,25,2,6,<=6,4,3,0.050175921502113335,3.139,16.8596,5.37,50,1,0.1667,1,0.3793,1,0.2656,xenium_human_lung_cancer_seed1
Non-Contiguous Random,25,2,6,<=6,4,1,-1.6541481018261806e-06,3.0372,16.2821,5.36,50,1,1.0,1,1.0,1,0.3934,xenium_human_lung_cancer_seed1
Contiguous Random,26,1,15,<=6,6,25,0.24527839545123198,4.6339,19.9612,4.31,50,0,0.0,1,0.0161,1,0.052,xenium_human_lung_cancer_seed1
Non-Contiguous Random,26,1,15,<=6,6,2,0.01338072379072519,4.1104,20.0221,4.87,50,1,0.1875,1,0.1392,1,0.0749,xenium_human_lung_cancer_seed1
Contiguous Random,27,0,14,<=6,5,1,-3.60134277654911e-06,4.167,18.8172,4.52,50,1,0.2143,1,0.0811,1,0.0377,xenium_human_lung_cancer_seed1
Non-Contiguous Random,27,0,14,<=6,5,4,0.12192799723184422,4.3075,18.9683,4.4,50,1,0.1667,1,0.0303,1,0.0308,xenium_human_lung_cancer_seed1
Contiguous Random,28,1,5,<=6,5,1,-1.5037042794263655e-06,3.7116,17.4574,4.7,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,28,1,5,<=6,5,1,3.471515520270252e-06,4.2787,17.6187,4.12,50,1,1.0,1,0.7931,1,0.5926,xenium_human_lung_cancer_seed1
Contiguous Random,29,1,7,<=6,6,1,3.0865531693291537e-06,7.1885,19.5058,2.71,50,1,0.6667,1,0.6818,1,0.5155,xenium_human_lung_cancer_seed1
Non-Contiguous Random,29,1,7,<=6,6,2,0.004205725906764601,4.3576,19.9225,4.57,50,1,0.8571,1,0.8929,1,0.8654,xenium_human_lung_cancer_seed1
Contiguous Random,30,2,12,<=6,4,1,4.579157829281977e-06,3.7938,17.4434,4.6,50,1,0.2,1,0.25,1,0.1592,xenium_human_lung_cancer_seed1
Non-Contiguous Random,30,2,12,<=6,4,11,0.16121932115554805,3.7314,17.5081,4.69,50,0,0.0,1,0.1364,1,0.0774,xenium_human_lung_cancer_seed1
Contiguous Random,31,3,8,<=6,6,1,4.966615130275187e-06,5.7712,20.1183,3.49,50,1,0.3333,1,0.2015,1,0.0969,xenium_human_lung_cancer_seed1
Non-Contiguous Random,31,3,8,<=6,6,1,-2.5802981061806562e-06,4.144,19.3932,4.68,50,1,1.0,1,1.0,1,0.8889,xenium_human_lung_cancer_seed1
Contiguous Random,32,3,10,<=6,6,1,6.069381194295786e-07,4.4625,20.2897,4.55,50,1,0.8,1,0.7333,1,0.6418,xenium_human_lung_cancer_seed1
Non-Contiguous Random,32,3,10,<=6,6,3,0.03824730395985143,8.3071,20.7046,2.49,50,1,0.2857,1,0.2083,1,0.0811,xenium_human_lung_cancer_seed1
Contiguous Random,33,3,17,<=6,5,6,0.5655367612353214,4.9034,18.9234,3.86,50,0,0.0,0,0.0,0,0.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,33,3,17,<=6,5,3,0.061615579762090755,3.8142,17.9528,4.71,50,1,0.6,1,0.7143,1,0.7,xenium_human_lung_cancer_seed1
Contiguous Random,34,0,16,<=6,5,1,3.0984201716544035e-06,7.7079,18.4583,2.39,50,1,0.4,1,0.0988,1,0.0499,xenium_human_lung_cancer_seed1
Non-Contiguous Random,34,0,16,<=6,5,4,0.14611308043016646,6.1487,18.5263,3.01,50,1,0.1667,1,0.2742,1,0.0773,xenium_human_lung_cancer_seed1
Contiguous Random,35,2,1,<=6,4,1,3.7333202362044293e-06,2.966,15.9085,5.36,50,1,0.5,1,0.3333,1,0.4333,xenium_human_lung_cancer_seed1
Non-Contiguous Random,35,2,1,<=6,4,1,-2.0596432685829336e-06,3.1547,15.5964,4.94,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,36,0,16,<=6,5,2,0.045869020898397006,4.2094,18.3787,4.37,50,1,0.3333,1,0.1538,1,0.1101,xenium_human_lung_cancer_seed1
Non-Contiguous Random,36,0,16,<=6,5,4,0.14257667790948225,8.2112,18.6454,2.27,50,1,0.3,1,0.3973,1,0.0893,xenium_human_lung_cancer_seed1
Contiguous Random,37,3,2,<=6,6,1,-3.932579436760619e-06,4.4686,18.6452,4.17,50,1,0.25,1,0.4242,1,0.3566,xenium_human_lung_cancer_seed1
Non-Contiguous Random,37,3,2,<=6,6,1,1.7392906087598803e-06,4.0902,18.2281,4.46,50,1,0.8,1,0.6429,1,0.5294,xenium_human_lung_cancer_seed1
Contiguous Random,38,1,5,<=6,6,1,-2.5037031732288995e-06,3.8598,18.2067,4.72,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,38,1,5,<=6,6,1,4.267939323898684e-06,4.0208,18.1597,4.52,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,39,3,8,<=6,5,1,-4.906029693330094e-06,5.0454,18.2256,3.61,50,1,0.9231,1,0.6364,1,0.2988,xenium_human_lung_cancer_seed1
Non-Contiguous Random,39,3,8,<=6,5,1,-1.1734933512697054e-06,4.9294,17.8596,3.62,50,1,0.7143,1,0.6667,1,0.5422,xenium_human_lung_cancer_seed1
Contiguous Random,40,1,17,<=6,5,3,0.015967649663474248,3.6149,18.4165,5.09,50,1,0.0385,1,0.1017,1,0.0507,xenium_human_lung_cancer_seed1
Non-Contiguous Random,40,1,17,<=6,5,1,-2.787807603654713e-06,3.4226,18.5121,5.41,50,1,0.1818,1,0.1094,1,0.0696,xenium_human_lung_cancer_seed1
Contiguous Random,41,0,17,<=6,6,3,0.11492549105152972,5.0229,19.8852,3.96,50,1,0.0769,1,0.0621,1,0.0603,xenium_human_lung_cancer_seed1
Non-Contiguous Random,41,0,17,<=6,6,8,0.11360200303570767,6.9288,20.0608,2.9,50,1,0.0851,1,0.0707,1,0.0387,xenium_human_lung_cancer_seed1
Contiguous Random,42,3,14,<=6,5,2,0.1227600637549966,4.4286,18.4716,4.17,50,1,0.3333,1,0.6667,1,0.4328,xenium_human_lung_cancer_seed1
Non-Contiguous Random,42,3,14,<=6,5,16,0.1755606982179182,4.5925,18.3097,3.99,50,0,0.0,1,0.0769,1,0.0679,xenium_human_lung_cancer_seed1
Contiguous Random,43,0,5,<=6,6,2,2.8540353608007676,4.1743,21.1086,5.06,50,0,0.0,0,0.0,0,0.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,43,0,5,<=6,6,2,2.8540353608007676,4.0459,18.2323,4.51,50,0,0.0,0,0.0,0,0.0,xenium_human_lung_cancer_seed1
Contiguous Random,44,3,6,<=6,4,1,1.2360095977825836e-06,2.9569,16.7745,5.67,50,1,0.0896,1,0.0554,1,0.0647,xenium_human_lung_cancer_seed1
Non-Contiguous Random,44,3,6,<=6,4,1,3.3080101013160945e-06,2.9794,16.484,5.53,50,1,0.1364,1,0.0811,1,0.1096,xenium_human_lung_cancer_seed1
Contiguous Random,45,0,9,<=6,5,6,0.24915090882919577,3.8172,18.3607,4.81,50,0,0.0,1,0.2143,1,0.133,xenium_human_lung_cancer_seed1
Non-Contiguous Random,45,0,9,<=6,5,2,0.0008548828371124362,5.5537,18.2922,3.29,50,1,0.6667,1,0.5,1,0.4722,xenium_human_lung_cancer_seed1
Contiguous Random,46,2,10,<=6,4,6,0.13206727276325225,3.2478,16.8433,5.19,50,1,0.1,1,0.0789,1,0.0852,xenium_human_lung_cancer_seed1
Non-Contiguous Random,46,2,10,<=6,4,4,0.110396710062027,4.388,16.8547,3.84,50,1,0.1667,1,0.2,1,0.2452,xenium_human_lung_cancer_seed1
Contiguous Random,47,2,8,<=6,5,1,2.658830676460777e-06,4.4457,17.8567,4.02,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,47,2,8,<=6,5,1,2.658830676460777e-06,4.4204,17.8178,4.03,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,48,0,5,<=6,4,1,-5.60513138767732e-08,3.3583,16.2808,4.85,50,1,0.55,1,0.6735,1,0.5833,xenium_human_lung_cancer_seed1
Non-Contiguous Random,48,0,5,<=6,4,1,9.909665584575955e-07,3.3253,16.2448,4.89,50,1,0.8571,1,0.6667,1,0.4845,xenium_human_lung_cancer_seed1
Contiguous Random,49,0,5,<=6,4,2,6.374585911631588e-05,3.2186,16.2594,5.05,50,1,0.619,1,0.6486,1,0.5696,xenium_human_lung_cancer_seed1
Non-Contiguous Random,49,0,5,<=6,4,3,0.08766278192281723,4.4178,16.2296,3.67,50,1,0.4,1,0.44,1,0.2826,xenium_human_lung_cancer_seed1
Contiguous Random,50,1,1,7-12,10,1,-3.036559522939797e-06,5.3801,22.3462,4.15,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,50,1,1,7-12,10,1,-2.0850330249839837e-06,5.3879,21.7464,4.04,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,51,1,1,7-12,8,1,-2.340057755789715e-06,4.6011,18.6632,4.06,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,51,1,1,7-12,8,1,-1.2059167499578471e-06,4.6855,18.7585,4.0,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,52,1,18,7-12,11,50,0.16909950576260546,5.7492,32.3692,5.63,50,0,0.0,1,0.0563,1,0.048,xenium_human_lung_cancer_seed1
Non-Contiguous Random,52,1,18,7-12,11,4,0.040868100677141195,6.8087,31.6086,4.64,50,1,0.1489,1,0.1172,1,0.0456,xenium_human_lung_cancer_seed1
Contiguous Random,53,1,7,7-12,7,1,-1.1376595878687112e-06,4.8756,20.6255,4.23,50,1,1.0,1,1.0,1,0.973,xenium_human_lung_cancer_seed1
Non-Contiguous Random,53,1,7,7-12,7,1,-2.6252797125370098e-06,5.0224,20.2943,4.04,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,54,2,2,7-12,7,1,-2.1592909920653547e-06,4.0195,19.1909,4.77,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,54,2,2,7-12,7,1,-3.834497110329765e-06,4.193,18.5056,4.41,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,55,3,13,7-12,8,1,-4.090514637233866e-06,6.4492,22.674,3.52,50,1,0.875,1,0.7143,1,0.2857,xenium_human_lung_cancer_seed1
Non-Contiguous Random,55,3,13,7-12,8,1,-2.3616611555254963e-07,6.6282,23.0753,3.48,50,1,0.619,1,0.5395,1,0.1859,xenium_human_lung_cancer_seed1
Contiguous Random,56,3,1,7-12,7,1,1.0740346656490374e-07,4.8102,18.9955,3.95,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,56,3,1,7-12,7,1,-4.99753948557391e-07,4.7386,19.122,4.04,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,57,2,2,7-12,8,1,4.3032540876231096e-06,4.3455,20.2909,4.67,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,57,2,2,7-12,8,1,-4.614051472229264e-06,4.2668,20.0661,4.7,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Contiguous Random,58,2,13,7-12,8,213,0.2820495837247713,5.3585,23.1808,4.33,50,0,0.0,1,0.0162,1,0.0559,xenium_human_lung_cancer_seed1
Non-Contiguous Random,58,2,13,7-12,8,1,-6.697260717114517e-07,6.3696,22.8572,3.59,50,1,1.0,1,0.9,1,0.5349,xenium_human_lung_cancer_seed1
Contiguous Random,59,0,9,7-12,7,1,3.91511333164285e-06,8.2473,21.0519,2.55,50,1,0.3704,1,0.2478,1,0.1066,xenium_human_lung_cancer_seed1
Non-Contiguous Random,59,0,9,7-12,7,1,2.9682532813324336e-06,4.5363,21.4253,4.72,50,1,0.8333,1,0.4483,1,0.2805,xenium_human_lung_cancer_seed1
Contiguous Random,60,3,4,7-12,10,1,-1.5666029461458564e-06,6.256,23.9163,3.82,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
Non-Contiguous Random,60,3,4,7-12,10,1,-2.875485826114854e-06,6.1306,24.4528,3.99,50,1,1.0,1,1.0,1,1.0,xenium_human_lung_cancer_seed1
