Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,0,11,<=6,4,7,0.20231460315227506,5.4713,26.2252,4.79,50,0,0.0,1,0.4,1,0.2346,xenium_human_lymph_node_seed2
Non-Contiguous Random,0,0,11,<=6,4,3,0.0538688592863083,4.6586,25.8297,5.54,50,1,0.25,1,0.125,1,0.0548,xenium_human_lymph_node_seed2
Contiguous Random,1,4,5,<=6,6,4,0.023872390823650003,7.782,28.8826,3.71,50,1,0.25,1,0.3611,1,0.2778,xenium_human_lymph_node_seed2
Non-Contiguous Random,1,4,5,<=6,6,1,-2.520880832412864e-06,6.9485,28.9749,4.17,50,1,0.25,1,0.4,1,0.3727,xenium_human_lymph_node_seed2
Contiguous Random,2,0,4,<=6,6,1,-3.0514980219886745e-06,5.966,28.5595,4.79,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,2,0,4,<=6,6,1,-1.5220829978068728e-06,6.753,28.5258,4.22,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,3,2,8,<=6,6,3,0.031484158629838055,5.9228,29.5636,4.99,50,1,0.3846,1,0.4355,1,0.2762,xenium_human_lymph_node_seed2
Non-Contiguous Random,3,2,8,<=6,6,1,-2.0700846731225298e-07,8.1715,29.1498,3.57,50,1,0.3043,1,0.1025,1,0.0526,xenium_human_lymph_node_seed2
Contiguous Random,4,2,4,<=6,4,1,1.4189004897968704e-06,5.1479,24.9448,4.85,50,1,1.0,1,0.9333,1,0.6875,xenium_human_lymph_node_seed2
Non-Contiguous Random,4,2,4,<=6,4,1,3.259587287890442e-06,4.8583,25.2073,5.19,50,1,0.3,1,0.3824,1,0.2886,xenium_human_lymph_node_seed2
Contiguous Random,5,1,8,<=6,4,1,-4.8565864563254735e-06,5.8747,25.3307,4.31,50,1,0.25,1,0.1429,1,0.0876,xenium_human_lymph_node_seed2
Non-Contiguous Random,5,1,8,<=6,4,5,0.12233180706977842,6.6511,25.4079,3.82,50,1,0.1667,1,0.1176,1,0.0969,xenium_human_lymph_node_seed2
Contiguous Random,6,3,2,<=6,4,1,3.843040466314229e-06,4.2916,24.9423,5.81,50,1,0.9333,1,0.8929,1,0.75,xenium_human_lymph_node_seed2
Non-Contiguous Random,6,3,2,<=6,4,1,3.843040466314229e-06,4.2313,24.6212,5.82,50,1,0.9333,1,0.8929,1,0.75,xenium_human_lymph_node_seed2
Contiguous Random,7,1,2,<=6,6,3,0.13019153061178113,5.9436,28.0954,4.73,50,1,0.6667,1,0.5122,1,0.5208,xenium_human_lymph_node_seed2
Non-Contiguous Random,7,1,2,<=6,6,1,4.085604358106121e-06,6.03,27.9874,4.64,50,1,0.3571,1,0.4286,1,0.2892,xenium_human_lymph_node_seed2
Contiguous Random,8,4,21,<=6,5,13,0.07436634611417473,4.7479,28.491,6.0,50,1,0.0312,1,0.0263,1,0.0293,xenium_human_lymph_node_seed2
Non-Contiguous Random,8,4,21,<=6,5,24,0.13960433273054723,7.5331,28.7081,3.81,50,0,0.0,1,0.0388,1,0.0369,xenium_human_lymph_node_seed2
Contiguous Random,9,4,11,<=6,5,2,0.04150789788855916,8.1589,27.8702,3.42,50,1,0.4286,1,0.26,1,0.0659,xenium_human_lymph_node_seed2
Non-Contiguous Random,9,4,11,<=6,5,3,0.02090490559387176,7.049,27.7037,3.93,50,1,0.2857,1,0.1513,1,0.0472,xenium_human_lymph_node_seed2
Contiguous Random,10,2,20,<=6,4,6,0.06262703041076662,4.9506,26.229,5.3,50,1,0.0714,1,0.0635,1,0.0333,xenium_human_lymph_node_seed2
Non-Contiguous Random,10,2,20,<=6,4,15,0.06731993076801301,4.4903,26.2658,5.85,50,1,0.013,1,0.021,1,0.0261,xenium_human_lymph_node_seed2
Contiguous Random,11,4,9,<=6,5,17,0.25032406556985876,6.6694,27.4885,4.12,50,0,0.0,1,0.027,1,0.0566,xenium_human_lymph_node_seed2
Non-Contiguous Random,11,4,9,<=6,5,2,0.12907763754587154,5.9905,27.6704,4.62,50,1,0.3333,1,0.2727,1,0.4167,xenium_human_lymph_node_seed2
Contiguous Random,12,1,17,<=6,5,1,2.8067650976182357e-06,7.5961,28.3087,3.73,50,1,1.0,1,1.0,1,0.973,xenium_human_lymph_node_seed2
Non-Contiguous Random,12,1,17,<=6,5,1,1.8499968581497939e-06,6.7496,28.5877,4.24,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Contiguous Random,13,2,20,<=6,4,3,0.04045733934402468,3.6773,25.8318,7.02,50,1,0.0278,1,0.0481,1,0.0289,xenium_human_lymph_node_seed2
