Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,1,16,<=6,4,9,0.04987963950634,16.7772,86.8498,5.18,50,1,0.1429,1,0.1194,1,0.0255,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,0,1,16,<=6,4,10,0.04472972265720368,23.4916,88.2063,3.75,50,1,0.0345,1,0.0625,1,0.0204,xenium_human_lymph_node_5k_seed1
Contiguous Random,1,10,33,<=6,5,36,0.06679469695160198,25.6389,98.2713,3.83,50,1,0.0536,1,0.0355,1,0.0102,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,1,10,33,<=6,5,14,0.054621140184429984,24.7976,97.8639,3.95,50,1,0.0526,1,0.04,1,0.0162,xenium_human_lymph_node_5k_seed1
Contiguous Random,2,11,0,<=6,4,1,0.0,17.9866,80.2289,4.46,50,1,0.4058,1,0.3529,1,0.2857,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,2,11,0,<=6,4,13,0.038608196606636044,19.5589,82.7883,4.23,50,1,0.0625,1,0.1013,1,0.043,xenium_human_lymph_node_5k_seed1
Contiguous Random,3,10,6,<=6,6,8,0.0769937452090656,22.27,105.9651,4.76,50,0,0.0,1,0.0625,1,0.0331,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,3,10,6,<=6,6,56,0.14102953369495763,22.4255,105.8026,4.72,50,0,0.0,1,0.0149,1,0.0179,xenium_human_lymph_node_5k_seed1
Contiguous Random,4,7,7,<=6,4,24,0.08218783326625825,21.7636,86.8712,3.99,50,0,0.0,1,0.0088,1,0.0187,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,4,7,7,<=6,4,3,0.02112259984970094,22.6179,88.2359,3.9,50,1,0.2632,1,0.1397,1,0.0214,xenium_human_lymph_node_5k_seed1
Contiguous Random,5,0,9,<=6,6,12,0.06362443564585213,30.0601,110.8437,3.69,50,1,0.1842,1,0.1188,1,0.0117,xenium_human_lymph_node_5k_seed1
