Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,2,21,<=6,4,4,0.06634477881431577,4.8495,25.2171,5.2,50,1,0.125,1,0.3191,1,0.1043,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,0,2,21,<=6,4,15,0.1258264263057709,3.9311,24.0571,6.12,50,0,0.0,1,0.0417,1,0.0382,xenium_human_pancreatic_cancer_seed1
Contiguous Random,1,2,9,<=6,5,1,2.5541670325424093e-06,5.2802,25.6164,4.85,50,1,0.9333,1,0.4286,1,0.2857,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,1,2,9,<=6,5,1,-4.0476350316887705e-06,4.6322,24.8699,5.37,50,1,0.6667,1,0.6923,1,0.825,xenium_human_pancreatic_cancer_seed1
Contiguous Random,2,2,11,<=6,4,16,0.3440013168239594,4.7174,23.6058,5.0,50,0,0.0,0,0.0,1,0.1575,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,2,2,11,<=6,4,1,-1.3239192962755109e-06,4.5771,22.627,4.94,50,1,0.5,1,0.4375,1,0.3409,xenium_human_pancreatic_cancer_seed1
Contiguous Random,3,3,10,<=6,4,7,0.2241491802239418,4.3884,22.6044,5.15,50,0,0.0,1,0.2222,1,0.2353,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,3,3,10,<=6,4,1,5.191802978643523e-07,3.9156,21.922,5.6,50,1,1.0,1,1.0,1,0.8571,xenium_human_pancreatic_cancer_seed1
Contiguous Random,4,0,3,<=6,5,1,0.0,4.2455,22.6631,5.34,50,1,0.5802,1,0.5106,1,0.4712,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,4,0,3,<=6,5,1,0.0,5.6572,22.7146,4.02,50,1,0.3304,1,0.3129,1,0.2579,xenium_human_pancreatic_cancer_seed1
Contiguous Random,5,2,3,<=6,4,1,0.0,3.7229,21.6072,5.8,50,1,0.5345,1,0.3167,1,0.1564,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,5,2,3,<=6,4,1,3.101316690444847e-06,3.9084,21.6208,5.53,50,1,0.5429,1,0.4262,1,0.2961,xenium_human_pancreatic_cancer_seed1
Contiguous Random,6,2,19,<=6,5,1,-4.212897163125007e-06,4.2976,26.0114,6.05,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,6,2,19,<=6,5,1,4.2562200381901505e-06,4.3086,25.6517,5.95,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,7,3,18,<=6,4,17,0.14252171901702881,6.8123,23.8425,3.5,50,1,0.0526,1,0.0376,1,0.0329,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,7,3,18,<=6,4,7,0.07603730518341062,6.0443,23.4234,3.88,50,1,0.0556,1,0.0357,1,0.0399,xenium_human_pancreatic_cancer_seed1
Contiguous Random,8,3,3,<=6,6,1,5.728625947706845e-07,5.9268,25.8915,4.37,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,8,3,3,<=6,6,1,1.4776911019531713e-06,4.9857,24.58,4.93,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,9,3,13,<=6,5,3,0.08083914551302729,6.7166,26.3263,3.92,50,1,0.2381,1,0.1098,1,0.0347,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,9,3,13,<=6,5,1,2.6765833966435615e-06,7.8609,26.1445,3.33,50,1,0.5833,1,0.383,1,0.1103,xenium_human_pancreatic_cancer_seed1
Contiguous Random,10,0,24,<=6,6,54,0.2696625626912799,5.0955,28.4645,5.59,50,0,0.0,1,0.0381,1,0.0345,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,10,0,24,<=6,6,2,0.044542119393392254,7.983,28.1191,3.52,50,1,0.1,1,0.1714,1,0.0424,xenium_human_pancreatic_cancer_seed1
Contiguous Random,11,2,13,<=6,5,1,-1.0980663286419556e-06,4.3812,24.8288,5.67,50,1,0.6,1,0.5,1,0.2094,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,11,2,13,<=6,5,5,0.20087272506328152,5.0757,24.4114,4.81,50,0,0.0,1,0.3182,1,0.1606,xenium_human_pancreatic_cancer_seed1
Contiguous Random,12,3,23,<=6,6,25,0.07840280882746131,7.0972,28.1479,3.97,50,1,0.0263,1,0.0336,1,0.0317,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,12,3,23,<=6,6,11,0.07762095275798409,6.3783,28.1777,4.42,50,1,0.0964,1,0.0481,1,0.0292,xenium_human_pancreatic_cancer_seed1
Contiguous Random,13,2,19,<=6,5,16,0.07367317083939945,6.3232,25.7732,4.08,50,1,0.0132,1,0.0249,1,0.029,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,13,2,19,<=6,5,9,0.10443476926904771,6.4191,25.8545,4.03,50,1,0.069,1,0.0767,1,0.0295,xenium_human_pancreatic_cancer_seed1
Contiguous Random,14,2,14,<=6,6,1,-4.908145185000823e-07,6.2832,26.5778,4.23,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,14,2,14,<=6,6,2,0.03782146829800476,4.9856,26.338,5.28,50,1,0.5,1,0.4348,1,0.3217,xenium_human_pancreatic_cancer_seed1
Contiguous Random,15,0,3,<=6,6,1,-2.5158223725604834e-06,5.1669,23.8618,4.62,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,15,0,3,<=6,6,1,-1.8142277187216393e-06,5.9789,23.5553,3.94,50,1,0.9474,1,0.9474,1,0.9474,xenium_human_pancreatic_cancer_seed1
Contiguous Random,16,2,24,<=6,6,23,0.09405745097172769,7.301,28.0748,3.85,50,1,0.0111,1,0.0061,1,0.0225,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,16,2,24,<=6,6,17,0.1189153629715658,7.1144,27.9227,3.92,50,1,0.0444,1,0.0157,1,0.021,xenium_human_pancreatic_cancer_seed1
Contiguous Random,17,2,13,<=6,4,1,3.290767967697658e-07,4.3796,22.6099,5.16,50,1,0.3846,1,0.4444,1,0.4853,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,17,2,13,<=6,4,5,0.07014665266513825,6.5873,22.9639,3.49,50,1,0.3333,1,0.2468,1,0.1505,xenium_human_pancreatic_cancer_seed1
Contiguous Random,18,2,19,<=6,6,16,0.13824030551261685,4.7513,28.0993,5.91,50,1,0.0444,1,0.0116,1,0.0298,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,18,2,19,<=6,6,4,0.04189473884028033,5.4353,27.9743,5.15,50,1,0.1746,1,0.0871,1,0.0415,xenium_human_pancreatic_cancer_seed1
Contiguous Random,19,1,18,<=6,6,2,0.11723671332086427,9.7795,28.1264,2.88,50,1,0.5,1,0.4444,1,0.1195,xenium_human_pancreatic_cancer_seed1
