Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,0,1,19,<=6,4,1,-1.196498870870144e-06,2.6913,9.6872,3.6,50,1,0.5,1,0.6471,1,0.4167,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,0,1,19,<=6,4,4,0.26263135534286497,2.7143,9.2709,3.42,50,0,0.0,0,0.0,1,0.2584,xenium_human_skin_melanoma_seed1
Contiguous Random,1,1,13,<=6,5,10,0.06178521654225988,2.5551,10.1684,3.98,50,1,0.1311,1,0.1467,1,0.0902,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,1,1,13,<=6,5,17,0.10690125121039573,2.8491,10.0569,3.53,50,1,0.0714,1,0.114,1,0.0925,xenium_human_skin_melanoma_seed1
Contiguous Random,2,1,14,<=6,4,1,-2.980804443275531e-07,4.3718,9.207,2.11,50,1,1.0,1,1.0,1,0.9444,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,2,1,14,<=6,4,2,0.16291201404571531,2.4162,9.2187,3.82,50,0,0.0,1,0.2,1,0.5652,xenium_human_skin_melanoma_seed1
Contiguous Random,3,2,7,<=6,4,12,0.26517367143630977,1.9467,9.1795,4.72,50,0,0.0,0,0.0,1,0.2323,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,3,2,7,<=6,4,2,0.0010353842735290608,2.633,9.2289,3.51,50,1,0.7,1,0.6111,1,0.3302,xenium_human_skin_melanoma_seed1
Contiguous Random,4,0,1,<=6,5,1,0.0,2.7479,8.8482,3.22,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,4,0,1,<=6,5,1,-1.2719022830683102e-06,2.5595,8.8871,3.47,50,1,1.0,1,0.9412,1,0.7833,xenium_human_skin_melanoma_seed1
Contiguous Random,5,2,6,<=6,5,4,0.0417355434246649,2.8899,9.9247,3.43,50,1,0.3125,1,0.2692,1,0.1905,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,5,2,6,<=6,5,3,0.2227274201408544,4.6317,9.9633,2.15,50,0,0.0,1,0.1818,1,0.1358,xenium_human_skin_melanoma_seed1
Contiguous Random,6,0,14,<=6,6,20,0.3376519555112185,3.346,11.1914,3.34,50,0,0.0,0,0.0,1,0.1005,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,6,0,14,<=6,6,37,0.30974367474513875,2.6544,10.9046,4.11,50,0,0.0,1,0.0217,1,0.0793,xenium_human_skin_melanoma_seed1
Contiguous Random,7,0,14,<=6,5,5,0.11544786930585349,2.0295,10.0829,4.97,50,1,0.0909,1,0.1308,1,0.0864,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,7,0,14,<=6,5,10,0.11858898981678284,3.141,10.0575,3.2,50,1,0.1,1,0.0854,1,0.0837,xenium_human_skin_melanoma_seed1
Contiguous Random,8,0,1,<=6,5,1,0.0,3.0844,8.9428,2.9,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,8,0,1,<=6,5,1,0.0,3.401,8.9812,2.64,50,1,1.0,1,0.9767,1,0.9804,xenium_human_skin_melanoma_seed1
Contiguous Random,9,1,1,<=6,6,1,0.0,3.3785,9.3726,2.77,50,1,0.96,1,0.9744,1,0.9796,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,9,1,1,<=6,6,1,0.0,3.6881,9.2918,2.52,50,1,0.5263,1,0.5263,1,0.5263,xenium_human_skin_melanoma_seed1
Contiguous Random,10,1,15,<=6,6,9,0.1619978312126209,3.9543,10.7536,2.72,50,1,0.1538,1,0.0822,1,0.0934,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,10,1,15,<=6,6,2,0.008482442665826984,2.9463,10.8231,3.67,50,1,0.7,1,0.3385,1,0.1157,xenium_human_skin_melanoma_seed1
Contiguous Random,11,1,1,<=6,5,1,2.9949542504625892e-06,3.0343,8.9945,2.96,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,11,1,1,<=6,5,1,1.1592051001874104e-06,3.4442,9.003,2.61,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
